RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0	230.688	286.468
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.001	230.689	286.469
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.00177828	230.689	286.47
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.00316228	230.69	286.471
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.00562341	230.693	286.472
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.01	230.696	286.476
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.0177828	230.702	286.481
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.0316228	230.713	286.492
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.0562341	230.732	286.509
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.1	230.766	286.541
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.177828	230.825	286.598
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.316228	230.932	286.698
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	0.562341	231.12	286.876
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	1	231.45	287.191
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	1.77828	232.018	287.746
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	3.16228	232.989	288.715
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	5.62341	234.71	290.402
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	10	237.738	293.29
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	17.7828	242.976	298.105
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	31.6228	251.886	305.836
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	56.2341	266.305	317.582
0	43.72	1	1e+06	1	172.5	1	338.65	1	93	1	100	285.659	334.003
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0	230.688	286.468
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.001	230.689	286.469
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.00177828	230.689	286.47
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.00316228	230.69	286.471
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.00562341	230.693	286.473
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.01	230.696	286.477
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.0177828	230.703	286.483
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.0316228	230.714	286.495
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.0562341	230.735	286.516
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.1	230.771	286.553
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.177828	230.835	286.618
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.316228	230.95	286.735
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	0.562341	231.152	286.941
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	1	231.509	287.305
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	1.77828	232.136	287.945
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	3.16228	233.225	289.059
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	5.62341	235.085	290.967
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	10	238.397	294.243
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	17.7828	244.012	299.649
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	31.6228	253.616	308.392
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	56.2341	269.159	321.598
1	46.4646	1	818518	1	113.833	1	449.876	1	100.697	1	100	289.376	339.665
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0	230.688	286.468
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.001	230.689	286.469
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.00177828	230.689	286.469
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.00316228	230.69	286.47
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.00562341	230.692	286.472
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.01	230.696	286.476
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.0177828	230.702	286.481
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.0316228	230.714	286.492
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.0562341	230.733	286.51
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.1	230.769	286.543
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.177828	230.832	286.601
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.316228	230.943	286.704
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	0.562341	231.14	286.887
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	1	231.487	287.209
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	1.77828	232.094	287.773
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	3.16228	233.14	288.751
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	5.62341	234.909	290.418
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	10	238.121	293.315
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	17.7828	243.533	298.054
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	31.6228	252.695	305.735
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	56.2341	267.279	317.325
2	39.2453	1	569670	1	152.634	1	999.775	1	125.256	1	100	284.688	333.347
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0	230.688	286.468
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.001	230.689	286.469
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.00177828	230.689	286.469
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.00316228	230.69	286.471
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.00562341	230.692	286.472
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.01	230.696	286.476
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.0177828	230.702	286.482
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.0316228	230.713	286.493
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.0562341	230.733	286.512
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.1	230.768	286.545
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.177828	230.83	286.606
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.316228	230.94	286.712
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	0.562341	231.135	286.9
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	1	231.479	287.233
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	1.77828	232.08	287.814
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	3.16228	233.118	288.821
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	5.62341	234.875	290.531
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	10	238.086	293.483
3	39.8428	1	1.035e+06	1	228.341	1	310.714	1	74.5038	1	17.7828	243.547	298.324
