RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0	230.688	286.468
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.001	230.689	286.469
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00177828	230.689	286.469
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00316228	230.689	286.469
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00562341	230.689	286.469
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.01	230.691	286.471
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0177828	230.693	286.473
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0316228	230.696	286.477
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0562341	230.701	286.484
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.1	230.711	286.496
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.177828	230.729	286.518
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.316228	230.763	286.557
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.562341	230.818	286.625
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	1	230.92	286.747
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	1.77828	231.1	286.963
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	3.16228	231.417	287.342
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	5.62341	231.973	288.008
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	10	232.937	289.16
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	17.7828	234.576	291.117
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	31.6228	237.278	294.335
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	56.2341	241.583	299.376
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	100	248.1	306.732
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0	230.688	286.468
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.001	230.688	286.468
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00177828	230.688	286.469
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00316228	230.689	286.469
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00562341	230.689	286.47
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.01	230.69	286.471
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0177828	230.692	286.473
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0316228	230.695	286.477
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0562341	230.701	286.484
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.1	230.712	286.497
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.177828	230.73	286.519
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.316228	230.763	286.558
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.562341	230.821	286.628
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	1	230.923	286.753
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	1.77828	231.105	286.972
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	3.16228	231.425	287.357
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	5.62341	231.983	288.029
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	10	232.945	289.181
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	17.7828	234.561	291.107
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	31.6228	237.25	294.287
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	56.2341	241.452	299.183
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	100	247.853	306.349
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0	230.688	286.468
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.001	230.688	286.468
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00177828	230.688	286.468
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00316228	230.688	286.469
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00562341	230.689	286.469
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.01	230.69	286.47
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0177828	230.691	286.471
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0316228	230.693	286.474
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0562341	230.697	286.478
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.1	230.705	286.486
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.177828	230.718	286.5
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.316228	230.741	286.525
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.562341	230.782	286.569
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	1	230.856	286.648
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	1.77828	230.986	286.787
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	3.16228	231.216	287.032
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	5.62341	231.621	287.464
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	10	232.327	288.218
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	17.7828	233.546	289.515
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	31.6228	235.596	291.691
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	56.2341	239.061	295.308
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	100	244.694	301.039
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0	230.688	286.468
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.001	230.688	286.468
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00177828	230.688	286.468
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00316228	230.688	286.469
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00562341	230.689	286.469
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.01	230.689	286.47
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0177828	230.69	286.471
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0316228	230.692	286.473
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0562341	230.696	286.478
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.1	230.702	286.485
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.177828	230.714	286.498
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.316228	230.734	286.521
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.562341	230.77	286.563
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	1	230.833	286.636
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	1.77828	230.945	286.767
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	3.16228	231.145	286.998
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	5.62341	231.496	287.405
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	10	232.112	288.117
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	17.7828	233.181	289.351
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	31.6228	235.004	291.447
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	56.2341	238.057	294.939
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	100	243.192	300.65
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0	230.688	286.468
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.001	230.688	286.468
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.00177828	230.688	286.469
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.00316228	230.689	286.469
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.00562341	230.689	286.47
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.01	230.691	286.471
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.0177828	230.693	286.474
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.0316228	230.696	286.479
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.0562341	230.703	286.487
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.1	230.715	286.501
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.177828	230.736	286.527
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.316228	230.774	286.573
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	0.562341	230.841	286.654
4	442.492	1	1.25502e+06	1	143.57	1	1129.92	1	5844.48	1	1	230.959	286.798
