RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0	230.688	286.468
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.001	230.689	286.469
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.00177828	230.69	286.47
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.00316228	230.69	286.472
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.00562341	230.693	286.474
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.01	230.696	286.479
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.0177828	230.702	286.486
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.0316228	230.713	286.501
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.0562341	230.732	286.526
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.1	230.765	286.57
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.177828	230.826	286.65
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.316228	230.933	286.79
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	0.562341	231.122	287.038
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	1	231.454	287.473
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	1.77828	232.033	288.232
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	3.16228	233.027	289.534
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	5.62341	234.692	291.71
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	10	237.367	295.195
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	17.7828	241.4	300.411
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	31.6228	246.941	307.497
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	56.2341	253.703	315.977
0	1051.84	1	1e+06	1	42.6	1	70.1453	1	1e+06	1	100	260.964	324.775
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0	230.688	286.468
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.001	230.689	286.469
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.00177828	230.69	286.471
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.00316228	230.691	286.472
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.00562341	230.694	286.476
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.01	230.698	286.482
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.0177828	230.706	286.492
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.0316228	230.721	286.511
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.0562341	230.746	286.545
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.1	230.792	286.605
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.177828	230.872	286.711
1	828.213	1	1.49739e+06	1	32.1386	1	132.049	1	1.8484e+06	1	0.316228	231.014	286.898
