RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0	230.688	286.468
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.001	230.692	286.473
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.00177828	230.694	286.477
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.00316228	230.699	286.483
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.00562341	230.709	286.495
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.01	230.726	286.516
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.0177828	230.753	286.553
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.0316228	230.805	286.618
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.0562341	230.894	286.734
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.1	231.054	286.94
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.177828	231.334	287.302
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.316228	231.823	287.932
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	0.562341	232.668	289.02
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	1	234.093	290.848
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	1.77828	236.403	293.805
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	3.16228	239.927	298.29
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	5.62341	244.843	304.48
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	10	251.004	311.973
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	17.7828	257.759	319.644
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	31.6228	264.323	326.001
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	56.2341	270.153	329.671
0	59.6	1	748.46	1	8.91	1	231.76	1	299.53	1	100	274.672	329.432
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0	230.688	286.468
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.001	230.691	286.473
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.00177828	230.694	286.476
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.00316228	230.699	286.483
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.00562341	230.708	286.494
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.01	230.724	286.514
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.0177828	230.752	286.55
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.0316228	230.802	286.614
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.0562341	230.89	286.726
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.1	231.046	286.926
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.177828	231.321	287.275
1	51.9607	1	995.038	1	9.69287	1	205.679	1	291.371	1	0.316228	231.799	287.884
