RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0	230.688	286.468
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.001	230.91	286.766
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.00177828	231.081	286.994
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.00316228	231.381	287.397
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.00562341	231.905	288.098
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.01	232.802	289.3
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.0177828	234.302	291.308
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.0316228	236.703	294.52
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.0562341	240.289	299.313
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.1	245.131	305.778
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.177828	250.847	313.393
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.316228	256.577	321.024
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	0.562341	261.385	327.45
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	1	264.669	331.925
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	1.77828	266.24	334.258
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	3.16228	266.032	334.462
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	5.62341	263.849	332.408
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	10	259.216	327.649
0	346.18	1	170.87	1	0.14	1	224.967	1	1e+06	1	17.7828	251.479	319.519
