RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0	230.688	286.468
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.001	230.688	286.468
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00177828	230.688	286.468
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00316228	230.688	286.468
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00562341	230.689	286.469
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.01	230.689	286.469
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0177828	230.689	286.469
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0316228	230.689	286.469
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0562341	230.689	286.47
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.1	230.69	286.47
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.177828	230.692	286.472
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.316228	230.695	286.475
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.562341	230.699	286.48
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	1	230.708	286.489
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	1.77828	230.724	286.505
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	3.16228	230.752	286.534
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	5.62341	230.801	286.585
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	10	230.887	286.674
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	17.7828	231.036	286.829
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	31.6228	231.295	287.096
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	56.2341	231.733	287.546
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	100	232.457	288.289
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.001	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.00177828	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.00316228	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.00562341	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.01	230.688	286.468
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.0177828	230.688	286.469
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.0316228	230.689	286.469
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.0562341	230.689	286.469
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.1	230.69	286.47
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.177828	230.692	286.472
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.316228	230.695	286.476
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	0.562341	230.701	286.482
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	1	230.711	286.492
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	1.77828	230.73	286.511
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	3.16228	230.762	286.543
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	5.62341	230.82	286.602
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	10	230.921	286.705
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	17.7828	231.1	286.885
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	31.6228	231.41	287.199
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	56.2341	231.944	287.736
1	2381.77	1	1.53038e+06	1	3527.57	1	279.747	1	1.4364e+06	1	100	232.842	288.638
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.001	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.00177828	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.00316228	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.00562341	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.01	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.0177828	230.688	286.468
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.0316228	230.689	286.469
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.0562341	230.689	286.469
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.1	230.69	286.47
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.177828	230.692	286.472
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.316228	230.695	286.475
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	0.562341	230.7	286.481
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	1	230.709	286.49
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	1.77828	230.725	286.507
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	3.16228	230.754	286.538
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	5.62341	230.806	286.592
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	10	230.898	286.688
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	17.7828	231.06	286.859
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	31.6228	231.347	287.159
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	56.2341	231.85	287.686
2	2548.68	1	2.80283e+06	1	2606	1	1800.05	1	964662	1	100	232.723	288.599
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.001	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.00177828	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.00316228	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.00562341	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.01	230.688	286.468
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.0177828	230.688	286.469
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.0316228	230.689	286.469
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.0562341	230.689	286.47
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.1	230.691	286.471
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.177828	230.693	286.473
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.316228	230.696	286.477
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	0.562341	230.703	286.485
3	4093.12	1	709061	1	2832.48	1	165.428	1	919008	1	1	230.714	286.498
