RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0	230.688	286.468
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.001	230.679	286.459
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.00177828	230.671	286.452
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.00316228	230.659	286.439
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.00562341	230.636	286.416
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.01	230.594	286.375
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.0177828	230.521	286.303
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.0316228	230.39	286.174
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.0562341	230.162	285.947
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.1	229.756	285.546
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.177828	229.045	284.843
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.316228	227.812	283.625
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	0.562341	225.709	281.551
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	1	222.231	278.135
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	1.77828	216.761	272.799
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	3.16228	208.795	265.135
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	5.62341	198.344	255.374
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	10	185.533	244.08
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	17.7828	166.052	227.352
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	31.6228	133.232	196.379
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	56.2341	99.3329	160.72
0	2290.98	1	16.32	1	341.22	1	640.13	1	86	1	100	74.5885	135.21
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0	230.688	286.468
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.001	230.678	286.459
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.00177828	230.671	286.452
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.00316228	230.658	286.439
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.00562341	230.635	286.416
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.01	230.593	286.375
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.0177828	230.519	286.303
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.0316228	230.388	286.175
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.0562341	230.156	285.947
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.1	229.745	285.545
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.177828	229.02	284.834
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.316228	227.75	283.59
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	0.562341	225.547	281.432
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	1	221.799	277.762
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	1.77828	215.625	271.717
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	3.16228	207.232	263.706
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	5.62341	196.029	253.279
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	10	181.898	240.797
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	17.7828	159.234	220.583
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	31.6228	125.718	187.743
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	56.2341	93.1636	154.006
1	1994.57	1	14.6554	1	243.127	1	362.973	1	105.242	1	100	70.3394	130.584
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0	230.688	286.468
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.001	230.682	286.462
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.00177828	230.677	286.458
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.00316228	230.669	286.45
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.00562341	230.655	286.436
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.01	230.629	286.411
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.0177828	230.584	286.367
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.0316228	230.503	286.289
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.0562341	230.359	286.15
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.1	230.105	285.904
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.177828	229.655	285.468
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.316228	228.861	284.7
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	0.562341	227.473	283.356
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	1	225.073	281.033
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	1.77828	221.01	277.101
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	3.16228	214.367	270.675
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	5.62341	205.787	262.664
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	10	194.446	252.412
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	17.7828	179.474	239.677
2	2399.73	1	23.4023	1	331.606	1	631.124	1	81.8019	1	31.6228	154.49	217.607
