RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0	230.688	286.468
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.001	230.688	286.468
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.00177828	230.688	286.469
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.00316228	230.689	286.47
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.00562341	230.69	286.471
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.01	230.692	286.473
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.0177828	230.696	286.477
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.0316228	230.702	286.483
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.0562341	230.714	286.496
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.1	230.735	286.519
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.177828	230.769	286.557
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.316228	230.834	286.626
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	0.562341	230.947	286.749
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	1	231.145	286.965
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	1.77828	231.496	287.343
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	3.16228	232.104	288
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	5.62341	233.136	289.123
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	10	234.839	290.981
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	17.7828	237.582	293.905
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	31.6228	241.708	298.12
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	56.2341	247.287	303.359
0	106.438	1	1595.84	1	91.646	1	46.902	1	1e+06	1	100	253.706	308.315
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0	230.688	286.468
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.001	230.688	286.469
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.00177828	230.689	286.469
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.00316228	230.689	286.469
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.00562341	230.69	286.47
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.01	230.692	286.472
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.0177828	230.694	286.476
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.0316228	230.7	286.482
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.0562341	230.709	286.492
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.1	230.725	286.511
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.177828	230.754	286.544
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.316228	230.805	286.603
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	0.562341	230.896	286.706
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	1	231.056	286.889
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	1.77828	231.336	287.21
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	3.16228	231.821	287.763
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	5.62341	232.644	288.7
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	10	234.019	290.262
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	17.7828	236.199	292.723
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	31.6228	239.42	296.248
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	56.2341	243.629	300.54
1	147.087	1	1390.96	1	99.9334	1	58.692	1	854835	1	100	248.005	304.215
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0	230.688	286.468
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.001	230.688	286.468
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.00177828	230.689	286.469
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.00316228	230.689	286.469
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.00562341	230.69	286.47
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.01	230.692	286.472
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.0177828	230.695	286.475
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.0316228	230.701	286.48
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.0562341	230.711	286.489
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.1	230.729	286.506
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.177828	230.76	286.535
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.316228	230.817	286.587
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	0.562341	230.916	286.679
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	1	231.092	286.842
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	1.77828	231.4	287.127
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	3.16228	231.936	287.624
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	5.62341	232.853	288.475
2	80.2645	1	2468.45	1	150.848	1	109.623	1	982476	1	10	234.399	289.916
