RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0	230.688	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.001	230.685	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00177828	230.688	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00316228	230.687	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00562341	230.688	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.01	230.689	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0177828	230.689	286.469
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0316228	230.689	286.468
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0562341	230.691	286.47
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.1	230.695	286.472
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.177828	230.7	286.475
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.316228	230.708	286.48
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.562341	230.723	286.488
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1	230.751	286.504
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1.77828	230.8	286.53
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	3.16228	230.886	286.579
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	5.62341	231.04	286.663
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	10	231.304	286.813
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	17.7828	231.754	287.073
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	31.6228	232.504	287.516
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	56.2341	233.798	288.259
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	100	235.956	289.46
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0	230.688	286.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.001	230.688	286.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00177828	230.688	286.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00316228	230.688	286.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00562341	230.689	286.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.01	230.689	286.469
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0177828	230.69	286.469
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0316228	230.692	286.47
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0562341	230.695	286.472
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.1	230.7	286.475
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.177828	230.71	286.481
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.316228	230.727	286.49
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.562341	230.757	286.507
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1	230.81	286.538
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1.77828	230.904	286.592
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	3.16228	231.07	286.686
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	5.62341	231.356	286.849
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	10	231.846	287.128
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	17.7828	232.679	287.614
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	31.6228	234.084	288.419
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	56.2341	236.416	289.708
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	100	240.159	291.653
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0	230.688	286.468
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.001	230.688	286.468
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00177828	230.688	286.468
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00316228	230.688	286.468
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00562341	230.688	286.468
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.01	230.689	286.469
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0177828	230.689	286.469
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0316228	230.69	286.47
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0562341	230.692	286.471
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.1	230.696	286.473
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.177828	230.702	286.476
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.316228	230.713	286.483
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.562341	230.733	286.494
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1	230.768	286.514
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1.77828	230.83	286.549
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	3.16228	230.939	286.611
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	5.62341	231.131	286.72
