RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0	230.687	286.468
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.001	230.688	286.469
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.00177828	230.688	286.468
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.00316228	230.688	286.469
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.00562341	230.688	286.469
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.01	230.689	286.469
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.0177828	230.689	286.47
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.0316228	230.69	286.471
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.0562341	230.693	286.474
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.1	230.698	286.479
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.177828	230.705	286.486
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.316228	230.719	286.501
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	0.562341	230.745	286.527
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	1	230.786	286.572
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	1.77828	230.863	286.654
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	3.16228	230.998	286.798
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	5.62341	231.24	287.052
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	10	231.663	287.499
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	17.7828	232.401	288.281
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	31.6228	233.669	289.629
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	56.2341	235.802	291.9
0	550.049	1	1e+06	1	492.9	1	1e+06	1	1e+06	1	100	239.356	295.593
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0	230.688	286.468
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.001	230.688	286.468
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.00177828	230.688	286.468
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.00316228	230.688	286.468
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.00562341	230.689	286.469
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.01	230.689	286.469
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.0177828	230.69	286.47
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.0316228	230.692	286.472
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.0562341	230.696	286.475
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.1	230.702	286.481
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.177828	230.714	286.491
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.316228	230.734	286.509
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	0.562341	230.769	286.54
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	1	230.832	286.596
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	1.77828	230.944	286.695
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	3.16228	231.142	286.87
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	5.62341	231.489	287.178
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	10	232.093	287.715
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	17.7828	233.135	288.645
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	31.6228	234.895	290.229
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	56.2341	237.927	292.903
1	226.567	1	777171	1	535.966	1	1.85604e+06	1	703359	1	100	242.905	297.185
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0	230.688	286.468
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.001	230.688	286.468
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.00177828	230.688	286.468
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.00316228	230.688	286.468
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.00562341	230.688	286.469
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.01	230.689	286.469
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.0177828	230.69	286.47
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.0316228	230.691	286.472
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.0562341	230.694	286.475
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.1	230.699	286.48
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.177828	230.707	286.49
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.316228	230.722	286.507
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	0.562341	230.748	286.537
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	1	230.795	286.591
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	1.77828	230.878	286.686
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	3.16228	231.025	286.854
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	5.62341	231.284	287.151
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	10	231.738	287.67
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	17.7828	232.526	288.566
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	31.6228	233.877	290.099
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	56.2341	236.145	292.652
2	724.718	1	1.34771e+06	1	394.867	1	253657	1	1.13796e+06	1	100	239.813	296.741
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0	230.688	286.468
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.001	230.688	286.468
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.00177828	230.688	286.468
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.00316228	230.688	286.468
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.00562341	230.688	286.469
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.01	230.689	286.469
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.0177828	230.69	286.47
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.0316228	230.691	286.471
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.0562341	230.693	286.474
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.1	230.698	286.478
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.177828	230.705	286.486
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.316228	230.719	286.501
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	0.562341	230.743	286.526
3	541.04	1	776421	1	511.849	1	1.59832e+06	1	821538	1	1	230.786	286.571
