RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0	230.687	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.001	230.686	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00177828	230.688	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00316228	230.688	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00562341	230.687	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.01	230.687	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0177828	230.687	286.468
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0316228	230.685	286.466
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0562341	230.685	286.465
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.1	230.684	286.464
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.177828	230.68	286.46
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.316228	230.674	286.454
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.562341	230.664	286.444
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	1	230.646	286.425
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	1.77828	230.615	286.391
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	3.16228	230.558	286.332
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	5.62341	230.457	286.227
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	10	230.28	286.04
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	17.7828	229.964	285.71
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	31.6228	229.409	285.13
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	56.2341	228.444	284.12
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	100	226.789	282.389
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0	230.688	286.468
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.001	230.688	286.468
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00177828	230.688	286.468
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00316228	230.688	286.468
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00562341	230.687	286.468
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.01	230.687	286.467
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0177828	230.687	286.467
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0316228	230.686	286.466
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0562341	230.684	286.464
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.1	230.682	286.462
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.177828	230.677	286.457
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.316228	230.668	286.447
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.562341	230.652	286.431
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	1	230.624	286.403
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	1.77828	230.575	286.352
