RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0	208.104	268.929
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.001	208.102	268.927
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.00177828	208.105	268.93
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.00316228	208.108	268.933
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.00562341	208.107	268.933
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.01	208.113	268.94
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.0177828	208.12	268.949
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.0316228	208.13	268.964
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.0562341	208.156	268.997
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.1	208.193	269.046
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.177828	208.262	269.139
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.316228	208.386	269.303
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	0.562341	208.602	269.591
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	1	208.989	270.106
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	1.77828	209.675	271.019
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	3.16228	210.89	272.634
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	5.62341	213.026	275.476
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	10	216.767	280.452
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	17.7828	223.243	289.059
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	31.6228	234.228	303.643
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	56.2341	252.175	327.599
0	203.1	1	179.67	1	133.9	1	112.568	1	913.18	1	100	279.991	365.417
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0	208.105	268.929
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.001	208.106	268.93
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.00177828	208.106	268.931
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.00316228	208.108	268.933
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.00562341	208.11	268.936
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.01	208.114	268.941
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.0177828	208.12	268.951
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.0316228	208.132	268.967
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.0562341	208.153	268.997
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.1	208.191	269.05
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.177828	208.259	269.144
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.316228	208.378	269.312
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	0.562341	208.59	269.608
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	1	208.967	270.135
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	1.77828	209.633	271.064
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	3.16228	210.811	272.701
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	5.62341	212.878	275.557
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	10	216.474	280.472
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	17.7828	222.626	288.741
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	31.6228	233.472	303.557
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	56.2341	250.997	327.546
1	233.573	1	156.483	1	127.799	1	120.581	1	683.994	1	100	278.913	365.695
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0	208.105	268.929
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.001	208.105	268.93
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.00177828	208.106	268.931
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.00316228	208.106	268.932
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.00562341	208.108	268.934
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.01	208.11	268.937
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.0177828	208.114	268.944
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.0316228	208.121	268.956
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.0562341	208.133	268.976
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.1	208.155	269.013
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.177828	208.194	269.078
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.316228	208.264	269.195
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	0.562341	208.388	269.402
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	1	208.611	269.771
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	1.77828	209.013	270.43
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	3.16228	209.745	271.61
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	5.62341	211.092	273.725
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	10	213.608	277.522
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	17.7828	216.961	282.914
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	31.6228	224.347	294.1
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	56.2341	238.682	314.383
2	240.091	1	73.0992	1	122.439	1	138.259	1	1026.11	1	100	267.133	351.62
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0	208.105	268.929
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.001	208.106	268.931
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.00177828	208.107	268.932
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.00316228	208.109	268.935
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.00562341	208.113	268.94
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.01	208.119	268.948
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.0177828	208.131	268.963
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.0316228	208.15	268.989
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.0562341	208.186	269.035
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.1	208.249	269.117
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.177828	208.361	269.264
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.316228	208.56	269.524
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	0.562341	208.913	269.984
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	1	209.537	270.799
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	1.77828	210.639	272.236
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	3.16228	212.57	274.751
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	5.62341	215.918	279.099
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	10	221.618	286.465
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	17.7828	231.422	299.115
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	31.6228	248.227	320.81
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	56.2341	275.123	356.173
3	222.434	1	970.943	1	107.532	1	66.4994	1	930.678	1	100	316.284	411.161
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0	208.105	268.929
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.001	208.106	268.931
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.00177828	208.107	268.933
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.00316228	208.109	268.935
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.00562341	208.113	268.94
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.01	208.119	268.948
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.0177828	208.13	268.963
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.0316228	208.15	268.989
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.0562341	208.184	269.036
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.1	208.246	269.12
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.177828	208.356	269.268
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.316228	208.552	269.531
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	0.562341	208.898	269.998
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	1	209.51	270.822
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	1.77828	210.59	272.273
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	3.16228	212.479	274.804
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	5.62341	215.749	279.159
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	10	221.296	286.48
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	17.7828	231.236	299.607
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	31.6228	247.405	321.025
4	139.605	1	219.81	1	89.5198	1	180.653	1	540.719	1	56.2341	272.382	354.903
