RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0	208.106	268.93
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.001	219.108	283.971
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.00177828	227.009	294.893
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.00316228	239.815	312.835
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.00562341	259.393	340.899
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.01	286.879	381.885
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.0177828	321.611	437.213
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.0316228	360.854	506.741
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.0562341	401.047	590.457
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.1	439.171	694.224
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.177828	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.316228	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	0.562341	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	1	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	1.77828	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	3.16228	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	5.62341	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	10	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	17.7828	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	31.6228	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	56.2341	1000	1000
0	346.18	1	170.87	1	0.01056	1	224.967	1	1e+06	1	100	1000	1000
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0	208.105	268.929
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.001	218.069	282.592
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.00177828	224.896	291.972
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.00316228	236.687	308.496
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.00562341	254.709	334.24
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.01	280.506	372.416
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.0177828	313.857	424.793
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.0316228	352.798	492.495
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.0562341	395.577	583.326
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.1	501.492	687.608
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.177828	705.858	815.666
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.316228	829.887	893.383
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	0.562341	902.792	939.066
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	1	944.842	965.415
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	1.77828	968.833	980.448
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	3.16228	982.434	988.97
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	5.62341	990.117	993.785
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	10	994.449	996.5
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	17.7828	996.888	998.029
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	31.6228	998.26	998.89
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	56.2341	999.032	999.375
1	397.763	1	206.246	1	0.0120273	1	430.144	1	921707	1	100	999.466	999.65
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0	208.105	268.929
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.001	222.222	288.289
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.00177828	232.25	302.278
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.00316228	247.797	324.268
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.00562341	270.932	358.034
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.01	302.204	406.182
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.0177828	340.011	469.864
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.0316228	381.697	552.705
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.0562341	418.547	634.029
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.1	648.327	779.63
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.177828	795.467	871.829
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.316228	882.729	926.509
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	0.562341	933.324	958.212
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	1	962.275	976.353
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	1.77828	978.718	986.656
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	3.16228	988.015	992.482
2	584.271	1	277.502	1	0.00819432	1	455.184	1	703745	1	5.62341	993.26	995.769
