RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0	208.106	268.93
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.001	208.101	268.926
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00177828	208.105	268.93
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00316228	208.105	268.93
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00562341	208.103	268.928
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.01	208.11	268.935
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0177828	208.109	268.935
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0316228	208.118	268.945
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0562341	208.128	268.958
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.1	208.148	268.981
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.177828	208.179	269.019
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.316228	208.233	269.086
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.562341	208.331	269.206
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	1	208.514	269.428
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	1.77828	208.835	269.818
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	3.16228	209.398	270.505
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	5.62341	210.393	271.718
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	10	212.134	273.844
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	17.7828	215.152	277.535
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	31.6228	220.317	283.87
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	56.2341	228.987	294.543
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	100	243.253	312.175
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0	208.105	268.929
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.001	208.105	268.93
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00177828	208.106	268.93
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00316228	208.106	268.931
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00562341	208.108	268.933
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.01	208.11	268.936
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.0177828	208.114	268.941
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.0316228	208.121	268.949
