RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0	208.106	268.93
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.001	217.124	281.242
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.00177828	223.693	290.292
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.00316228	234.542	305.388
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.00562341	251.469	329.42
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.01	276.112	365.52
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.0177828	308.518	415.663
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.0316228	346.723	480.23
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.0562341	387.318	558.807
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.1	427.172	653.906
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.177828	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.316228	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	0.562341	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	1	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	1.77828	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	3.16228	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	5.62341	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	10	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	17.7828	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	31.6228	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	56.2341	1000	1000
0	5.68	1	1e+06	1	0.013	1	80	1	11.7	1	100	1000	1000
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0	208.105	268.929
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.001	216.521	280.468
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.00177828	222.353	288.463
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.00316228	232.478	302.587
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.00562341	248.167	324.779
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.01	271.484	358.805
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.0177828	302.968	407.251
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.0316228	341.033	471.284
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.0562341	383.077	554.75
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.1	420.12	635.801
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.177828	652.603	782.299
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.316228	798.503	873.724
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	0.562341	884.96	927.903
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	1	934.998	959.288
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	1.77828	963.571	977.215
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	3.16228	979.756	987.358
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	5.62341	999.998	999.999
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	10	999.999	1000
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	17.7828	1000	1000
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	31.6228	1000	1000
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	56.2341	1000	1000
1	4.76356	1	774190	1	0.0144307	1	81.1456	1	5.36273	1	100	750.507	756.196
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0	208.105	268.929
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.001	221.759	287.65
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.00177828	231.448	301.147
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.00316228	246.523	322.413
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.00562341	269.131	355.287
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.01	299.99	402.537
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.0177828	337.622	465.35
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.0316228	379.23	546.491
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.0562341	417.345	629.991
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.1	636.715	772.203
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.177828	788.836	867.523
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.316228	879.21	924.157
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	0.562341	931.639	957.022
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	1	961.587	975.828
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	1.77828	978.564	986.494
2	4.02462	1	408887	1	0.00851003	1	90.4909	1	18.3974	1	3.16228	988.117	992.504
