RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0	208.106	268.93
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.001	208.108	268.932
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.00177828	208.106	268.932
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.00316228	208.111	268.937
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.00562341	208.117	268.944
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.01	208.128	268.957
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.0177828	208.146	268.98
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.0316228	208.177	269.018
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.0562341	208.235	269.09
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.1	208.34	269.218
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.177828	208.518	269.438
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.316228	208.84	269.834
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	0.562341	209.412	270.539
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	1	210.421	271.783
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	1.77828	212.19	273.969
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	3.16228	215.28	277.799
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	5.62341	220.577	284.4
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	10	229.463	295.573
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	17.7828	243.223	313.863
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	31.6228	264.213	342.792
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	56.2341	295.214	386.668
0	43.72	1	1e+06	1	66.6	1	338.65	1	93	1	100	339.168	450.42
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0	208.105	268.929
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.001	208.108	268.933
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.00177828	208.111	268.937
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.00316228	208.116	268.943
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.00562341	208.124	268.954
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.01	208.139	268.973
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.0177828	208.165	269.007
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.0316228	208.212	269.067
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.0562341	208.295	269.175
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.1	208.443	269.366
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.177828	208.705	269.705
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.316228	209.169	270.304
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	0.562341	209.988	271.362
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	1	211.428	273.218
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	1.77828	213.932	276.44
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	3.16228	218.218	281.934
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	5.62341	225.355	291.026
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	10	237.53	306.994
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	17.7828	256.302	332.197
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	31.6228	283.959	370.94
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	56.2341	322.777	427.106
1	46.4646	1	818518	1	43.9495	1	449.876	1	100.697	1	100	375.074	505.597
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0	208.105	268.929
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.001	208.108	268.932
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.00177828	208.11	268.935
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.00316228	208.113	268.94
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.00562341	208.12	268.948
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.01	208.132	268.963
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.0177828	208.153	268.989
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.0316228	208.19	269.036
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.0562341	208.256	269.119
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.1	208.374	269.267
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.177828	208.583	269.529
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.316228	208.954	269.994
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	0.562341	209.61	270.816
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	1	210.764	272.261
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	1.77828	212.783	274.785
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	3.16228	216.266	279.129
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	5.62341	222.143	286.431
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	10	231.531	298.486
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	17.7828	246.264	318.208
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	31.6228	268.341	349.058
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	56.2341	299.492	394.018
2	39.2453	1	569670	1	58.93	1	999.775	1	125.256	1	100	341.534	456.929
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0	208.105	268.929
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.001	208.107	268.932
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.00177828	208.108	268.933
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.00316228	208.111	268.937
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.00562341	208.116	268.943
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.01	208.125	268.953
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.0177828	208.14	268.972
3	39.8428	1	1.035e+06	1	88.1593	1	310.714	1	74.5038	1	0.0316228	208.167	269.005
