RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0	208.106	268.93
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.001	208.104	268.928
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.00177828	208.104	268.928
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.00316228	208.103	268.927
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.00562341	208.103	268.927
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.01	208.106	268.93
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.0177828	208.108	268.932
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.0316228	208.11	268.933
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.0562341	208.112	268.934
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.1	208.115	268.936
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.177828	208.128	268.946
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.316228	208.145	268.958
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.562341	208.181	268.985
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	1	208.24	269.027
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	1.77828	208.345	269.105
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	3.16228	208.526	269.236
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	5.62341	208.832	269.458
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	10	209.341	269.826
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	17.7828	210.132	270.391
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	31.6228	211.256	271.179
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	56.2341	212.398	272.063
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	100	212.902	272.766
1	239.167	1	951757	1	1.00231e+06	1	1.97267e+06	1	1331.25	1	0	208.105	268.929
1	239.167	1	951757	1	1.00231e+06	1	1.97267e+06	1	1331.25	1	0.001	208.105	268.929
