RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0	208.106	268.93
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.001	208.128	268.958
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00177828	208.147	268.981
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00316228	208.175	269.018
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00562341	208.235	269.091
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.01	208.335	269.216
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0177828	208.512	269.438
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0316228	208.831	269.834
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0562341	209.4	270.542
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.1	210.393	271.783
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.177828	212.158	273.985
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.316228	215.238	277.836
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.562341	220.572	284.523
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	1	229.647	295.939
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	1.77828	244.323	314.893
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	3.16228	266.849	345.303
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	5.62341	301.068	392.345
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	10	351.279	462.403
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	17.7828	423.928	566.33
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	31.6228	491.724	740.392
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	56.2341	1000	1000
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	100	1000	1000
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0	208.105	268.929
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.001	208.129	268.959
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.00177828	208.148	268.982
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.00316228	208.182	269.023
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.00562341	208.243	269.096
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.01	208.35	269.226
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.0177828	208.54	269.457
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.0316228	208.878	269.867
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.0562341	209.477	270.593
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.1	210.535	271.874
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.177828	212.394	274.124
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.316228	215.632	278.035
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	0.562341	221.183	284.719
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	1	230.04	295.574
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	1.77828	244.941	314.59
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	3.16228	267.742	344.694
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	5.62341	303.286	392.424
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	10	357.504	466.159
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	17.7828	428.008	575.199
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	31.6228	657.701	759.247
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	56.2341	604.713	613.706
1	4.30692	1	1.75118e+06	1	7.83227	1	3.92008	1	60.6597	1	100	688.863	695.946
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0	208.105	268.929
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0.001	208.152	268.991
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0.00177828	208.188	269.04
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0.00316228	208.253	269.126
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0.00562341	208.368	269.279
2	7.55344	1	1.2342e+06	1	3.01073	1	10.8701	1	52.6996	1	0.01	208.573	269.551
