RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0	208.106	268.93
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.001	208.137	268.973
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.00177828	208.163	269.008
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.00316228	208.213	269.073
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.00562341	208.293	269.181
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.01	208.442	269.38
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.0177828	208.705	269.731
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.0316228	209.174	270.356
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.0562341	209.998	271.458
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.1	211.456	273.408
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.177828	214.008	276.826
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.316228	218.434	282.77
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	0.562341	225.987	292.944
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	1	238.5	309.9
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	1.77828	258.374	337.059
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	3.16228	288.212	378.255
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	5.62341	328.401	436.8
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	10	380.366	515.753
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	17.7828	444.843	620.022
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	31.6228	522.607	769.838
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	56.2341	1000	1000
0	18.3	1	376.87	1	3.74	1	46.93	1	1e+06	1	100	1000	1000
1	24.6131	1	250.214	1	5.6836	1	79.7613	1	1.50449e+06	1	0	208.105	268.929
1	24.6131	1	250.214	1	5.6836	1	79.7613	1	1.50449e+06	1	0.001	208.128	268.961
1	24.6131	1	250.214	1	5.6836	1	79.7613	1	1.50449e+06	1	0.00177828	208.147	268.986
