RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0	208.106	268.93
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.001	208.105	268.93
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.00177828	208.107	268.931
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.00316228	208.103	268.928
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.00562341	208.103	268.929
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.01	208.111	268.937
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.0177828	208.109	268.937
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.0316228	208.116	268.947
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.0562341	208.12	268.956
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.1	208.135	268.981
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.177828	208.155	269.016
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.316228	208.205	269.095
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	0.562341	208.28	269.222
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	1	208.413	269.447
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	1.77828	208.657	269.852
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	3.16228	209.069	270.552
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	5.62341	209.782	271.774
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	10	210.964	273.853
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	17.7828	212.88	277.333
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	31.6228	216.144	283.27
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	56.2341	223.047	294.571
0	498.53	1	99.44	1	177.01	1	434.15	1	526.41	1	100	239	317.371
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0	208.105	268.929
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.001	208.106	268.93
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.00177828	208.106	268.931
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.00316228	208.107	268.933
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.00562341	208.109	268.936
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.01	208.112	268.941
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.0177828	208.117	268.95
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.0316228	208.126	268.966
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.0562341	208.143	268.994
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.1	208.172	269.045
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.177828	208.225	269.135
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.316228	208.318	269.295
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	0.562341	208.484	269.58
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	1	208.78	270.084
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	1.77828	209.306	270.975
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	3.16228	210.24	272.542
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	5.62341	211.9	275.277
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	10	214.622	279.764
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	17.7828	218.962	287.286
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	31.6228	226.935	300.279
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	56.2341	243.387	324.714
1	451.432	1	63.3246	1	89.1334	1	433.758	1	434.756	1	100	274.945	368.018
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0	208.105	268.929
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.001	208.105	268.929
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.00177828	208.104	268.929
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.00316228	208.104	268.929
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.00562341	208.104	268.929
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.01	208.103	268.928
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.0177828	208.101	268.927
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.0316228	208.098	268.926
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.0562341	208.092	268.924
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.1	208.082	268.92
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.177828	208.064	268.913
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.316228	208.032	268.901
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	0.562341	207.977	268.882
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	1	207.883	268.85
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	1.77828	207.726	268.803
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	3.16228	207.481	268.752
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	5.62341	207.14	268.754
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	10	206.671	268.883
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	17.7828	205.239	268.458
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	31.6228	204.111	268.974
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	56.2341	206.702	274.773
2	656.345	1	65.6879	1	248.668	1	368.828	1	1769.15	1	100	217.248	290.652
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0	208.105	268.929
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.001	208.105	268.93
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.00177828	208.106	268.93
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.00316228	208.106	268.931
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.00562341	208.107	268.933
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.01	208.11	268.936
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.0177828	208.113	268.942
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.0316228	208.12	268.952
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.0562341	208.131	268.97
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.1	208.151	269.002
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.177828	208.187	269.058
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.316228	208.251	269.159
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	0.562341	208.365	269.337
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	1	208.567	269.654
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	1.77828	208.926	270.215
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	3.16228	209.56	271.203
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	5.62341	210.681	272.937
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	10	212.647	275.946
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	17.7828	216.061	281.073
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	31.6228	221.483	289.543
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	56.2341	230.628	303.498
3	567.86	1	142.571	1	164.82	1	623.194	1	840.012	1	100	247.277	327.877
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0	208.105	268.929
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.001	208.104	268.929
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.00177828	208.104	268.929
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.00316228	208.103	268.928
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.00562341	208.102	268.927
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.01	208.1	268.926
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.0177828	208.096	268.923
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.0316228	208.088	268.919
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.0562341	208.075	268.911
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.1	208.052	268.898
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.177828	208.012	268.873
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.316228	207.942	268.832
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	0.562341	207.819	268.761
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	1	207.613	268.645
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	1.77828	207.276	268.47
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	3.16228	206.771	268.25
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	5.62341	206.081	268.06
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	10	204.156	266.983
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	17.7828	202.223	266.459
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	31.6228	202.929	269.842
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	56.2341	210.149	281.582
4	374.437	1	38.3635	1	160.633	1	631.073	1	532.096	1	100	230.097	309.146
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0	208.105	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.001	208.105	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.00177828	208.105	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.00316228	208.104	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.00562341	208.104	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.01	208.103	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.0177828	208.101	268.929
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.0316228	208.099	268.93
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.0562341	208.094	268.93
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.1	208.086	268.931
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.177828	208.071	268.933
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.316228	208.045	268.937
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	0.562341	208.001	268.945
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	1	207.927	268.965
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	1.77828	207.811	269.014
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	3.16228	207.65	269.144
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	5.62341	207.495	269.496
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	10	206.974	269.84
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	17.7828	206.211	270.506
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	31.6228	206.816	273.652
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	56.2341	212.76	283.813
5	516.3	1	53.4087	1	172.391	1	513.261	1	827.429	1	100	229.836	308.137
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0	208.105	268.929
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.001	208.105	268.93
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.00177828	208.106	268.931
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.00316228	208.107	268.932
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.00562341	208.108	268.934
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.01	208.11	268.938
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.0177828	208.115	268.945
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.0316228	208.123	268.958
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.0562341	208.136	268.98
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.1	208.161	269.02
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.177828	208.205	269.091
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.316228	208.282	269.217
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	0.562341	208.42	269.441
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	1	208.665	269.838
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	1.77828	209.1	270.54
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	3.16228	209.871	271.776
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	5.62341	211.232	273.939
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	10	213.625	277.675
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	17.7828	217.239	283.446
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	31.6228	224.039	294.32
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	56.2341	235.872	312.475
6	561.159	1	97.1585	1	123.796	1	398.207	1	1557.66	1	100	259.018	345.146
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0	208.105	268.929
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.001	208.105	268.929
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.00177828	208.105	268.929
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.00316228	208.104	268.929
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.00562341	208.104	268.928
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.01	208.103	268.928
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.0177828	208.101	268.927
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.0316228	208.098	268.925
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.0562341	208.093	268.922
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.1	208.084	268.917
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.177828	208.067	268.908
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.316228	208.039	268.891
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	0.562341	207.988	268.863
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	1	207.9	268.815
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	1.77828	207.752	268.736
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	3.16228	207.509	268.618
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	5.62341	207.141	268.47
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	10	206.671	268.386
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	17.7828	205.456	267.833
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	31.6228	203.936	267.423
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	56.2341	203.311	268.647
7	542.354	1	85.8187	1	365.662	1	474.372	1	597.695	1	100	208.726	277.646
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0	208.105	268.929
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.001	208.106	268.931
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.00177828	208.107	268.932
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.00316228	208.108	268.934
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.00562341	208.11	268.937
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.01	208.114	268.944
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.0177828	208.122	268.955
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.0316228	208.135	268.976
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.0562341	208.158	269.013
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.1	208.2	269.077
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.177828	208.273	269.193
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.316228	208.404	269.397
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	0.562341	208.636	269.759
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	1	209.046	270.399
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	1.77828	209.77	271.525
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	3.16228	211.039	273.488
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	5.62341	213.237	276.862
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	10	216.981	282.525
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	17.7828	222.996	292.057
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	31.6228	233.11	307.743
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	56.2341	251.255	334.592
8	415.586	1	77.0298	1	82.5196	1	427.685	1	562.189	1	100	284.194	380.078
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0	208.105	268.929
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0.001	208.106	268.93
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0.00177828	208.106	268.931
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0.00316228	208.107	268.932
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0.00562341	208.109	268.934
9	433.733	1	320.919	1	173.519	1	395.061	1	410.253	1	0.01	208.111	268.938
