RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0	208.106	268.93
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.001	208.112	268.937
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.00177828	208.112	268.939
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.00316228	208.12	268.949
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.00562341	208.13	268.963
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.01	208.154	268.993
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.0177828	208.189	269.04
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.0316228	208.258	269.129
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.0562341	208.372	269.28
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.1	208.581	269.554
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.177828	208.95	270.038
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.316228	209.601	270.895
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	0.562341	210.765	272.42
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	1	212.796	275.092
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	1.77828	216.354	279.773
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	3.16228	222.488	287.858
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	5.62341	232.847	301.548
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	10	249.766	323.985
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	17.7828	275.503	359.045
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	31.6228	312.127	410.721
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	56.2341	361.804	482.526
0	59.6	1	748.46	1	27.6	1	231.76	1	299.53	1	100	426.094	578.467
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0	208.105	268.929
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.001	208.11	268.935
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.00177828	208.113	268.94
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.00316228	208.12	268.949
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.00562341	208.131	268.964
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.01	208.152	268.991
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.0177828	208.188	269.039
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.0316228	208.253	269.125
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.0562341	208.369	269.278
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.1	208.574	269.548
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.177828	208.937	270.027
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.316228	209.579	270.874
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	0.562341	210.709	272.362
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	1	212.682	274.956
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	1.77828	216.078	279.409
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	3.16228	221.791	286.862
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	5.62341	231.695	299.842
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	10	247.407	320.586
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	17.7828	272.189	354.105
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	31.6228	308.029	404.461
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	56.2341	357.878	476.539
1	51.9607	1	995.038	1	30.0251	1	205.679	1	291.371	1	100	423.536	576.328
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0	208.105	268.929
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.001	208.111	268.938
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.00177828	208.116	268.944
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.00316228	208.125	268.956
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.00562341	208.14	268.976
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.01	208.167	269.013
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.0177828	208.216	269.078
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.0316228	208.302	269.195
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.0562341	208.455	269.401
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.1	208.727	269.766
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.177828	209.207	270.412
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.316228	210.054	271.551
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	0.562341	211.536	273.542
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	1	214.099	276.981
2	70.389	1	544.362	1	21.5383	1	288.236	1	286.494	1	1.77828	218.444	282.795
