RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0	208.106	268.93
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.001	208.102	268.927
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.00177828	208.105	268.93
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.00316228	208.107	268.931
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.00562341	208.106	268.93
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.01	208.107	268.932
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.0177828	208.107	268.932
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.0316228	208.113	268.939
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.0562341	208.113	268.939
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.1	208.12	268.948
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.177828	208.136	268.967
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.316228	208.161	268.998
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	0.562341	208.209	269.055
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	1	208.286	269.149
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	1.77828	208.43	269.323
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	3.16228	208.685	269.631
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	5.62341	209.132	270.172
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	10	209.926	271.135
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	17.7828	211.328	272.834
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	31.6228	213.793	275.824
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	56.2341	218.052	281.007
0	791.62	1	100000	1	1042.27	1	335.23	1	100000	1	100	225.402	289.963
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0	208.105	268.929
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.001	208.105	268.93
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.00177828	208.105	268.93
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.00316228	208.106	268.93
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.00562341	208.107	268.931
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.01	208.108	268.933
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.0177828	208.111	268.936
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.0316228	208.115	268.942
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.0562341	208.123	268.952
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.1	208.137	268.97
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.177828	208.162	269.003
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.316228	208.206	269.06
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	0.562341	208.285	269.161
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	1	208.425	269.342
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	1.77828	208.673	269.662
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	3.16228	209.113	270.229
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	5.62341	209.892	271.233
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	10	211.264	272.998
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	17.7828	213.664	276.08
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	31.6228	217.808	281.383
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	56.2341	224.819	290.298
1	805.001	1	95488.7	1	501.942	1	357.653	1	86434.5	1	100	237.198	306.104
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0	208.105	268.929
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.001	208.105	268.929
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.00177828	208.105	268.929
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.00316228	208.105	268.93
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.00562341	208.106	268.93
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.01	208.106	268.931
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.0177828	208.107	268.932
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.0316228	208.109	268.934
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.0562341	208.113	268.938
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.1	208.118	268.946
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.177828	208.129	268.959
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.316228	208.148	268.982
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	0.562341	208.181	269.022
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	1	208.241	269.095
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	1.77828	208.346	269.224
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	3.16228	208.534	269.453
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	5.62341	208.866	269.858
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	10	209.454	270.576
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	17.7828	210.489	271.841
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	31.6228	212.303	274.053
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	56.2341	215.445	277.881
2	1197.72	1	103472	1	1555.06	1	370.772	1	66711	1	100	220.832	284.423
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0	208.105	268.929
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.001	208.105	268.929
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.00177828	208.105	268.929
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.00316228	208.105	268.93
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.00562341	208.106	268.93
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.01	208.106	268.931
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.0177828	208.107	268.932
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.0316228	208.108	268.934
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.0562341	208.111	268.937
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.1	208.116	268.943
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.177828	208.125	268.954
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.316228	208.141	268.974
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	0.562341	208.169	269.008
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	1	208.218	269.07
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	1.77828	208.306	269.18
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	3.16228	208.463	269.375
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	5.62341	208.741	269.721
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	10	209.234	270.334
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	17.7828	210.106	271.417
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	31.6228	211.642	273.323
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	56.2341	214.324	276.646
3	1393.64	1	149547	1	1622.09	1	685.662	1	136737	1	100	218.951	282.357
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0	208.105	268.929
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.001	208.105	268.929
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.00177828	208.105	268.93
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.00316228	208.106	268.93
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.00562341	208.106	268.931
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.01	208.107	268.932
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.0177828	208.109	268.934
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.0316228	208.111	268.937
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.0562341	208.117	268.943
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.1	208.126	268.955
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.177828	208.142	268.975
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.316228	208.17	269.01
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	0.562341	208.221	269.073
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	1	208.312	269.185
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	1.77828	208.472	269.383
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	3.16228	208.757	269.735
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	5.62341	209.262	270.358
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	10	210.152	271.456
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	17.7828	211.713	273.383
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	31.6228	214.423	276.725
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	56.2341	219.093	282.466
4	964.61	1	85705.7	1	989.612	1	241.47	1	53830.2	1	100	226.905	292.032
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0	208.105	268.929
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.001	208.105	268.929
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.00177828	208.105	268.93
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.00316228	208.106	268.93
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.00562341	208.106	268.931
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.01	208.108	268.933
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.0177828	208.11	268.936
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.0316228	208.114	268.941
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.0562341	208.121	268.95
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.1	208.133	268.966
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.177828	208.155	268.994
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.316228	208.195	269.045
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	0.562341	208.265	269.135
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	1	208.389	269.295
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	1.77828	208.609	269.579
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	3.16228	209	270.082
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	5.62341	209.691	270.973
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	10	210.911	272.542
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	17.7828	213.048	275.285
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	31.6228	216.75	280.021
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	56.2341	223.041	288.02
5	788.714	1	50834	1	556.465	1	499.983	1	107762	1	100	234.002	301.972
