RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0	208.106	268.93
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.001	208.118	268.946
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.00177828	208.13	268.962
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.00316228	208.147	268.985
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.00562341	208.167	269.017
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.01	208.246	269.114
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.0177828	208.357	269.26
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.0316228	208.554	269.517
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.0562341	208.898	269.969
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.1	209.516	270.779
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.177828	210.603	272.205
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.316228	212.52	274.721
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	0.562341	215.878	279.129
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	1	221.679	286.757
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	1.77828	231.513	299.711
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	3.16228	247.673	321.054
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	5.62341	272.256	354.588
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	10	307.846	404.407
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	17.7828	356.695	473.901
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	31.6228	419.996	565.291
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	56.2341	496.285	678.567
0	16.2	1	72.23	1	9.17	1	62.963	1	49.36	1	100	672.475	841.193
1	41.3044	1	95.1856	1	4.75789	1	63.0646	1	74.6964	1	0	208.105	268.929
1	41.3044	1	95.1856	1	4.75789	1	63.0646	1	74.6964	1	0.001	208.132	268.966
