RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0	208.106	268.93
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.001	208.104	268.928
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00177828	208.106	268.93
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00316228	208.106	268.93
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.00562341	208.106	268.93
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.01	208.107	268.931
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0177828	208.105	268.93
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0316228	208.108	268.933
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.0562341	208.11	268.935
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.1	208.112	268.938
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.177828	208.119	268.946
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.316228	208.136	268.964
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	0.562341	208.156	268.988
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	1	208.18	269.02
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	1.77828	208.272	269.121
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	3.16228	208.396	269.264
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	5.62341	208.62	269.523
0	3458.78	1	1e+06	1	4485.62	1	226.93	1	1e+06	1	10	209.01	269.973
