RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0	208.106	268.93
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.001	209.043	270.201
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00177828	209.763	271.18
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00316228	211.038	272.914
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00562341	213.279	275.965
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.01	217.158	281.267
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0177828	223.765	290.347
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0316228	234.66	305.473
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0562341	251.749	329.625
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.1	276.711	365.943
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.177828	309.878	416.564
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.316228	349.662	481.969
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.562341	392.697	561.749
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	1	434.209	658.259
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	1.77828	1000	1000
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	3.16228	1000	1000
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	5.62341	1000	1000
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	10	1000	1000
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	17.7828	1000	1000
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	31.6228	1000	1000
