RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0	208.102	268.927
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.001	208.105	268.93
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.00177828	208.1	268.926
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.00316228	208.111	268.938
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.00562341	208.116	268.945
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.01	208.116	268.951
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.0177828	208.138	268.979
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.0316228	208.18	269.033
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.0562341	208.236	269.111
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.1	208.342	269.257
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.177828	208.542	269.526
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.316228	208.882	269.991
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	0.562341	209.486	270.816
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	1	210.552	272.273
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	1.77828	212.415	274.826
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	3.16228	215.679	279.3
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	5.62341	221.233	286.96
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	10	230.5	299.824
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	17.7828	245.193	320.503
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	31.6228	266.978	351.82
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	56.2341	296.647	395.699
0	356.273	1	244.677	1	46.8851	1	1e+06	1	1e+06	1	100	333.038	452.255
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0	208.105	268.929
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.001	208.108	268.933
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.00177828	208.11	268.936
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.00316228	208.114	268.941
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.00562341	208.121	268.951
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.01	208.133	268.968
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.0177828	208.155	268.999
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.0316228	208.194	269.053
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.0562341	208.263	269.148
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.1	208.386	269.319
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.177828	208.605	269.621
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.316228	208.991	270.155
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	0.562341	209.671	271.097
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	1	210.863	272.745
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	1.77828	212.923	275.596
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	3.16228	216.415	280.425
1	704.905	1	317.129	1	43.7802	1	1.41931e+06	1	593143	1	5.62341	222.129	288.326
