RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0	208.102	268.927
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.001	208.102	268.927
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00177828	208.096	268.921
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00316228	208.102	268.926
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00562341	208.101	268.925
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.01	208.104	268.928
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0177828	208.095	268.92
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0316228	208.103	268.927
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0562341	208.106	268.929
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.1	208.109	268.932
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.177828	208.105	268.927
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.316228	208.124	268.942
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.562341	208.142	268.955
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1	208.166	268.972
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1.77828	208.225	269.016
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	3.16228	208.31	269.075
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	5.62341	208.476	269.196
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	10	208.761	269.403
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	17.7828	209.225	269.735
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	31.6228	209.97	270.268
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	56.2341	211.044	271.012
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	100	212.295	271.895
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0	208.105	268.929
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.001	208.105	268.929
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00177828	208.105	268.929
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00316228	208.105	268.929
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00562341	208.106	268.93
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.01	208.106	268.93
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0177828	208.107	268.931
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0316228	208.109	268.932
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0562341	208.112	268.934
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.1	208.117	268.938
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.177828	208.127	268.945
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.316228	208.144	268.957
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.562341	208.174	268.978
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1	208.227	269.016
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1.77828	208.322	269.083
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	3.16228	208.487	269.201
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	5.62341	208.774	269.405
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	10	209.264	269.754
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	17.7828	210.075	270.331
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	31.6228	211.134	271.081
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	56.2341	212.375	271.989
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	100	212.889	272.675
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0	208.105	268.929
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.001	208.105	268.929
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00177828	208.105	268.929
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00316228	208.105	268.929
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00562341	208.105	268.929
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.01	208.106	268.93
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0177828	208.106	268.93
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0316228	208.107	268.931
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0562341	208.109	268.932
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.1	208.113	268.935
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.177828	208.119	268.939
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.316228	208.13	268.947
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.562341	208.15	268.961
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1	208.185	268.986
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1.77828	208.247	269.031
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	3.16228	208.357	269.108
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	5.62341	208.549	269.245
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	10	208.88	269.481
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	17.7828	209.442	269.881
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	31.6228	210.362	270.535
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	56.2341	211.451	271.305
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	100	212.513	272.165
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0	208.105	268.929
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.001	208.105	268.929
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00177828	208.105	268.929
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00316228	208.105	268.929
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00562341	208.106	268.93
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.01	208.106	268.93
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.0177828	208.107	268.931
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.0316228	208.109	268.932
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.0562341	208.112	268.934
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.1	208.118	268.938
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.177828	208.128	268.946
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.316228	208.146	268.958
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.562341	208.178	268.981
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	1	208.234	269.021
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	1.77828	208.333	269.091
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	3.16228	208.506	269.215
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	5.62341	208.808	269.43
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	10	209.321	269.795
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	17.7828	210.167	270.399
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	31.6228	211.238	271.158
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	56.2341	212.427	272.057
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	100	212.906	272.73
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.001	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.00177828	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.00316228	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.00562341	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.01	208.105	268.929
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.0177828	208.106	268.93
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.0316228	208.106	268.93
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.0562341	208.107	268.931
4	434.608	1	1.64281e+06	1	584968	1	622719	1	725689	1	0.1	208.109	268.932
