RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0	208.091	268.916
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.001	208.094	268.919
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00177828	208.094	268.919
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00316228	208.096	268.92
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00562341	208.103	268.928
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.01	208.104	268.928
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0177828	208.095	268.92
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0316228	208.097	268.922
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0562341	208.111	268.936
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.1	208.117	268.942
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.177828	208.119	268.946
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.316228	208.15	268.978
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.562341	208.188	269.018
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	1	208.254	269.088
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	1.77828	208.371	269.214
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	3.16228	208.58	269.437
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	5.62341	208.946	269.829
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	10	209.583	270.514
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	17.7828	210.693	271.714
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	31.6228	212.577	273.774
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	56.2341	215.678	277.221
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	100	220.434	282.828
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0	208.105	268.929
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.001	208.105	268.929
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00177828	208.105	268.929
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00316228	208.105	268.929
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00562341	208.105	268.93
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.01	208.106	268.93
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0177828	208.106	268.931
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0316228	208.108	268.932
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0562341	208.11	268.934
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.1	208.114	268.938
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.177828	208.121	268.945
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.316228	208.134	268.957
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.562341	208.156	268.978
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	1	208.196	269.017
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	1.77828	208.266	269.085
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	3.16228	208.39	269.205
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	5.62341	208.611	269.419
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	10	208.998	269.795
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	17.7828	209.674	270.454
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	31.6228	210.837	271.597
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	56.2341	212.721	273.489
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	100	215.445	276.39
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0	208.105	268.929
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.001	208.105	268.929
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00177828	208.105	268.929
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00316228	208.105	268.929
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00562341	208.106	268.93
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.01	208.106	268.93
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0177828	208.107	268.931
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0316228	208.108	268.933
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0562341	208.111	268.936
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.1	208.116	268.941
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.177828	208.125	268.95
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.316228	208.14	268.966
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.562341	208.168	268.995
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	1	208.217	269.047
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	1.77828	208.305	269.138
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	3.16228	208.46	269.3
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	5.62341	208.733	269.586
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	10	209.216	270.092
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	17.7828	210.061	270.98
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	31.6228	211.522	272.524
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	56.2341	213.926	275.113
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	100	217.532	279.2
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0	208.105	268.929
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.001	208.105	268.929
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.00177828	208.105	268.93
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.00316228	208.106	268.93
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.00562341	208.106	268.931
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.01	208.107	268.932
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.0177828	208.109	268.934
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.0316228	208.112	268.937
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.0562341	208.117	268.944
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.1	208.126	268.955
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.177828	208.143	268.976
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.316228	208.173	269.012
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	0.562341	208.226	269.076
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	1	208.32	269.19
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	1.77828	208.487	269.392
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	3.16228	208.784	269.751
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	5.62341	209.309	270.386
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	10	210.234	271.506
3	370.861	1	898589	1	795.614	1	769776	1	918640	1	17.7828	211.855	273.467
