RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0	208.091	268.916
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.001	208.106	268.933
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.00177828	208.11	268.937
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.00316228	208.115	268.945
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.00562341	208.118	268.952
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.01	208.139	268.98
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.0177828	208.182	269.035
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.0316228	208.244	269.119
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.0562341	208.354	269.269
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.1	208.551	269.536
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.177828	208.898	270.008
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.316228	209.514	270.845
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	0.562341	210.596	272.32
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	1	212.513	274.931
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	1.77828	215.838	279.475
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	3.16228	221.528	287.293
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	5.62341	231	300.43
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	10	246.084	321.684
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	17.7828	268.553	354.207
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	31.6228	299.057	400.427
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	56.2341	336.238	461.151
0	3911.83	1	1e+06	1	27.1224	1	1e+06	1	1e+06	1	100	377.104	535.97
1	7498.98	1	639794	1	37.5575	1	249402	1	1.00006e+06	1	0	208.105	268.929
1	7498.98	1	639794	1	37.5575	1	249402	1	1.00006e+06	1	0.001	208.108	268.934
