RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0	208.091	268.916
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.001	208.111	268.941
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.00177828	208.126	268.96
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.00316228	208.145	268.987
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.00562341	208.19	269.045
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.01	208.26	269.139
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.0177828	208.377	269.298
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.0316228	208.604	269.599
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.0562341	208.983	270.111
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.1	209.682	271.045
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.177828	210.888	272.668
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.316228	213.035	275.548
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	0.562341	216.743	280.544
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	1	223.115	289.149
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	1.77828	233.715	303.553
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	3.16228	250.665	326.791
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	5.62341	276.197	362.226
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	10	310.716	412.258
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	17.7828	353.044	477.054
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	31.6228	400.43	553.377
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	56.2341	448.476	633.787
0	37.5728	1	187.714	1	7.825	1	1e+06	1	1e+06	1	100	492.578	707.24
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0	208.105	268.929
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0.001	208.119	268.948
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0.00177828	208.129	268.962
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0.00316228	208.148	268.988
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0.00562341	208.182	269.034
1	38.4676	1	361.858	1	9.66909	1	1.11307e+06	1	560065	1	0.01	208.243	269.115
