RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0	208.091	268.916
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.001	208.918	270.035
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.00177828	209.55	270.894
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.00316228	210.651	272.4
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.00562341	212.619	275.079
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.01	216.016	279.728
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.0177828	221.833	287.729
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.0316228	231.503	301.154
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.0562341	246.848	322.814
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.1	269.579	355.823
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.177828	300.234	402.515
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.316228	337.302	463.546
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	0.562341	377.68	538.253
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	1	418.529	626.563
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	1.77828	456.706	732.663
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	3.16228	1000	1000
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	5.62341	1000	1000
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	10	1000	1000
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	17.7828	1000	1000
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	31.6228	589.341	855.342
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	56.2341	591.4	819.851
0	29.5487	1	27.6494	1	0.1485	1	1e+06	1	1e+06	1	100	606.647	802.495
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0	208.105	268.929
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.001	209.393	270.695
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.00177828	210.377	272.045
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.00316228	212.091	274.395
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.00562341	215.029	278.422
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.01	219.927	285.137
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.0177828	228.229	296.636
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.0316228	241.511	315.239
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.0562341	261.932	344.616
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.1	290.092	386.699
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.177828	326.157	444.918
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.316228	366.315	517.407
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	0.562341	408.746	608.87
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	1	580.334	734.702
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	1.77828	754.865	844.072
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	3.16228	859.367	909.687
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	5.62341	920.169	948.061
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	10	955.04	970.203
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	17.7828	974.805	982.912
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	31.6228	985.924	990.205
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	56.2341	606.148	859.311
1	19.0998	1	37.4505	1	0.0997728	1	1.8825e+06	1	1.8484e+06	1	100	758.844	902.523
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0	208.105	268.929
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.001	209.56	270.925
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.00177828	210.67	272.447
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.00316228	212.597	275.09
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.00562341	215.884	279.597
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.01	221.321	287.053
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.0177828	230.684	300.083
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.0316228	245.292	320.65
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.0562341	267.344	352.628
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.1	297.687	398.906
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.177828	334.937	460.665
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.316228	376.197	539.711
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	0.562341	415.254	624.195
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	1	624.549	762.824
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	1.77828	781.397	861.103
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	3.16228	874.726	919.654
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	5.62341	928.891	953.758
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	10	959.866	973.409
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	17.7828	977.455	984.698
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	31.6228	979.034	987.57
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	56.2341	598.197	847.343
2	32.0373	1	36.4455	1	0.0881535	1	639300	1	1.28126e+06	1	100	605.831	817.609
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0	208.105	268.929
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.001	208.768	269.838
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.00177828	209.279	270.538
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.00316228	210.178	271.771
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.00562341	211.746	273.921
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.01	214.441	277.616
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.0177828	218.961	283.812
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.0316228	226.505	294.219
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.0562341	239.039	311.774
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.1	258.278	339.346
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.177828	285.316	379.527
3	44.5511	1	164.232	1	0.194897	1	1.69644e+06	1	937817	1	0.316228	319.618	433.679
