RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0	273.25	301.462
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.001	273.642	301.971
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.00177828	273.941	302.36
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.00316228	274.459	303.037
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.00562341	275.343	304.192
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.01	276.804	306.11
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.0177828	279.104	309.149
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.0316228	282.464	313.628
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.0562341	286.896	319.593
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.1	292.071	326.583
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.177828	297.418	333.727
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.316228	302.641	340.267
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	0.562341	307.895	346.02
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	1	313.651	351.445
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	1.77828	319.984	357.37
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	3.16228	326.719	364.9
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	5.62341	336.929	376.025
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	10	352.655	393.017
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	17.7828	376.512	418.685
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	31.6228	411.144	455.79
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	56.2341	459.173	507.1
0	1.6	1	1561.3	1	0.077	1	21.8	1	12.3	1	100	526.027	578.456
1	2.32522	1	2204.8	1	0.0733514	1	30.9409	1	7.29565	1	0	273.25	301.462
1	2.32522	1	2204.8	1	0.0733514	1	30.9409	1	7.29565	1	0.001	273.661	302.004
1	2.32522	1	2204.8	1	0.0733514	1	30.9409	1	7.29565	1	0.00177828	273.974	302.416
