RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0	273.25	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.001	273.25	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.00177828	273.25	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.00316228	273.25	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.00562341	273.251	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.01	273.251	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.0177828	273.251	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.0316228	273.254	301.462
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.0562341	273.256	301.463
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.1	273.261	301.464
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.177828	273.269	301.466
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.316228	273.283	301.469
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	0.562341	273.309	301.474
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	1	273.355	301.484
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	1.77828	273.434	301.499
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	3.16228	273.57	301.521
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	5.62341	273.775	301.544
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	10	274.068	301.549
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	17.7828	274.502	301.484
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	31.6228	274.937	301.219
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	56.2341	274.988	300.525
0	82.9	1	1021.39	1	4210	1	1e+06	1	50.1	1	100	273.4	298.961
1	89.328	1	832.346	1	8019.32	1	693009	1	61.9051	1	0	273.25	301.462
1	89.328	1	832.346	1	8019.32	1	693009	1	61.9051	1	0.001	273.25	301.462
1	89.328	1	832.346	1	8019.32	1	693009	1	61.9051	1	0.00177828	273.25	301.462
1	89.328	1	832.346	1	8019.32	1	693009	1	61.9051	1	0.00316228	273.25	301.462
