RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0	273.25	301.462
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.001	273.25	301.462
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00177828	273.251	301.462
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00316228	273.251	301.463
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.00562341	273.252	301.464
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.01	273.252	301.465
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0177828	273.254	301.467
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0316228	273.258	301.471
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.0562341	273.265	301.479
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.1	273.276	301.492
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.177828	273.296	301.515
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.316228	273.332	301.557
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	0.562341	273.396	301.631
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	1	273.508	301.763
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	1.77828	273.708	301.995
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	3.16228	274.062	302.406
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	5.62341	274.682	303.127
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	10	275.761	304.379
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	17.7828	277.611	306.519
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	31.6228	280.706	310.078
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	56.2341	285.647	315.762
0	464.7	1	1e+06	1	169.1	1	1155.1	1	3072.82	1	100	293.288	324.395
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0	273.25	301.462
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.001	273.25	301.462
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00177828	273.25	301.462
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00316228	273.251	301.463
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.00562341	273.251	301.463
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.01	273.252	301.465
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0177828	273.255	301.467
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0316228	273.259	301.472
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.0562341	273.265	301.48
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.1	273.278	301.494
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.177828	273.299	301.519
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.316228	273.338	301.564
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	0.562341	273.406	301.644
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	1	273.527	301.786
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	1.77828	273.742	302.036
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	3.16228	274.12	302.477
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	5.62341	274.784	303.249
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	10	275.937	304.585
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	17.7828	277.905	306.853
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	31.6228	281.199	310.643
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	56.2341	286.487	316.671
1	478.699	1	548610	1	168.298	1	964.345	1	6118.15	1	100	294.624	325.832
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0	273.25	301.462
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.001	273.25	301.462
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00177828	273.25	301.462
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00316228	273.251	301.463
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.00562341	273.251	301.463
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.01	273.252	301.464
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0177828	273.255	301.467
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0316228	273.258	301.471
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.0562341	273.265	301.478
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.1	273.277	301.49
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.177828	273.298	301.512
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.316228	273.335	301.552
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	0.562341	273.402	301.622
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	1	273.52	301.746
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	1.77828	273.73	301.967
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	3.16228	274.102	302.358
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	5.62341	274.758	303.048
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	10	275.911	304.258
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	17.7828	277.915	306.361
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	31.6228	281.344	309.951
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	56.2341	287.083	315.954
2	324.755	1	1.14116e+06	1	320.339	1	518.324	1	3468.09	1	100	296.774	326.06
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0	273.25	301.462
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.001	273.25	301.462
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00177828	273.25	301.462
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00316228	273.25	301.462
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.00562341	273.251	301.463
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.01	273.252	301.464
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0177828	273.254	301.466
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0316228	273.257	301.47
3	507.462	1	759996	1	341.187	1	569.546	1	1339.76	1	0.0562341	273.263	301.476
