RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0	273.25	301.462
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.001	273.251	301.463
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00177828	273.252	301.463
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00316228	273.253	301.465
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.00562341	273.254	301.466
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.01	273.258	301.47
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0177828	273.264	301.477
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0316228	273.276	301.488
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.0562341	273.295	301.509
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.1	273.329	301.545
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.177828	273.392	301.61
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.316228	273.502	301.725
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	0.562341	273.698	301.93
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	1	274.045	302.292
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	1.77828	274.659	302.934
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	3.16228	275.742	304.065
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	5.62341	277.639	306.045
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	10	280.923	309.475
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	17.7828	286.51	315.306
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	31.6228	295.748	324.94
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	56.2341	310.393	340.21
0	590.67	1	1e+06	1	512	1	96.63	1	10640.3	1	100	332.441	363.182
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0	273.25	301.462
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.001	273.25	301.462
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00177828	273.251	301.463
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00316228	273.252	301.464
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.00562341	273.253	301.465
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.01	273.256	301.468
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.0177828	273.261	301.474
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.0316228	273.27	301.483
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.0562341	273.286	301.5
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.1	273.313	301.529
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.177828	273.363	301.582
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.316228	273.451	301.675
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	0.562341	273.607	301.841
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	1	273.884	302.135
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	1.77828	274.372	302.653
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	3.16228	275.231	303.564
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	5.62341	276.725	305.151
1	650.983	1	2.04723e+06	1	346.717	1	139.801	1	7063.02	1	10	279.286	307.87
