RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0	273.25	301.462
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.001	273.277	301.497
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.00177828	273.298	301.525
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.00316228	273.336	301.574
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.00562341	273.401	301.661
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.01	273.518	301.815
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.0177828	273.724	302.086
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.0316228	274.084	302.561
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.0562341	274.704	303.382
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.1	275.749	304.772
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.177828	277.449	307.045
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.316228	280.049	310.563
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	0.562341	283.694	315.57
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	1	288.222	321.933
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	1.77828	293.121	328.991
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	3.16228	297.767	335.818
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	5.62341	301.833	341.787
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	10	305.486	346.929
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	17.7828	309.32	351.889
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	31.6228	314.268	357.761
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	56.2341	321.6	366.017
0	2871.9	1	1973.7	1	1.11	1	271.47	1	1e+06	1	100	332.929	378.489
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0	273.25	301.462
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.001	273.285	301.509
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.00177828	273.313	301.546
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.00316228	273.362	301.611
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.00562341	273.449	301.726
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.01	273.603	301.93
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.0177828	273.872	302.287
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.0316228	274.339	302.907
1	2402.37	1	3340.16	1	0.856309	1	125.015	1	949816	1	0.0562341	275.136	303.963
