RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0	273.25	301.462
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.001	273.356	301.598
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.00177828	273.437	301.703
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.00316228	273.582	301.89
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.00562341	273.837	302.218
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.01	274.281	302.792
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.0177828	275.046	303.78
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.0316228	276.33	305.445
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.0562341	278.407	308.148
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.1	281.571	312.288
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.177828	286.013	318.126
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.316228	291.674	325.551
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	0.562341	298.291	334.072
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	1	305.851	343.273
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	1.77828	315.056	353.461
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	3.16228	327.304	365.956
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	5.62341	344.313	382.945
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	10	366.53	406.967
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	17.7828	398.618	441.314
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	31.6228	443.315	488.993
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	56.2341	505.198	554.888
0	5.65	1	1e+06	1	0.3	1	14.2	1	52.65	1	100	607.599	663.379
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0	273.25	301.462
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.001	273.356	301.595
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.00177828	273.438	301.698
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.00316228	273.583	301.88
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.00562341	273.84	302.202
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.01	274.29	302.766
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.0177828	275.071	303.741
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.0316228	276.401	305.398
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.0562341	278.61	308.145
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.1	282.153	312.564
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.177828	287.505	319.207
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.316228	295.081	328.496
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	0.562341	305.208	340.586
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	1	319.548	356.833
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	1.77828	339.261	378.047
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	3.16228	366.845	406.645
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	5.62341	403.585	445.415
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	10	452.999	498.271
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	17.7828	535.492	585.779
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	31.6228	643.538	691.515
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	56.2341	791.106	821.313
1	4.30692	1	1.75118e+06	1	0.354937	1	3.92008	1	60.6597	1	100	1000	1000
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0	273.25	301.462
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.001	273.477	301.761
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.00177828	273.651	301.99
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.00316228	273.957	302.393
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.00562341	274.487	303.089
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.01	275.388	304.273
2	7.55344	1	1.2342e+06	1	0.136438	1	10.8701	1	52.6996	1	0.0177828	276.869	306.217
