RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0	273.248	301.461
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.001	273.249	301.461
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.00177828	273.241	301.46
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.00316228	273.247	301.461
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.00562341	273.248	301.462
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.01	273.247	301.462
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.0177828	273.249	301.462
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.0316228	273.252	301.464
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.0562341	273.255	301.467
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.1	273.26	301.473
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.177828	273.273	301.484
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.316228	273.29	301.503
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	0.562341	273.324	301.537
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	1	273.384	301.598
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	1.77828	273.492	301.706
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	3.16228	273.677	301.898
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	5.62341	274.012	302.237
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	10	274.6	302.835
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	17.7828	275.63	303.881
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	31.6228	277.419	305.692
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	56.2341	280.453	308.77
0	1273.37	1	2521.61	1	7170.58	1	489.192	1	244.48	1	100	285.433	313.842
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0	273.249	301.462
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.001	273.25	301.462
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.00177828	273.25	301.462
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.00316228	273.25	301.462
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.00562341	273.25	301.462
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.01	273.251	301.463
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.0177828	273.252	301.464
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.0316228	273.253	301.466
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.0562341	273.257	301.469
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.1	273.262	301.475
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.177828	273.272	301.485
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.316228	273.29	301.504
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	0.562341	273.322	301.536
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	1	273.378	301.594
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	1.77828	273.477	301.697
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	3.16228	273.653	301.878
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	5.62341	273.963	302.198
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	10	274.506	302.758
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	17.7828	275.445	303.726
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	31.6228	277.023	305.353
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	56.2341	279.554	307.957
1	1438.34	1	1539.51	1	7624.29	1	484.501	1	194.693	1	100	283.907	312.436
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0	273.249	301.462
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.001	273.25	301.462
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.00177828	273.25	301.462
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.00316228	273.25	301.462
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.00562341	273.25	301.462
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.01	273.251	301.463
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.0177828	273.251	301.464
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.0316228	273.253	301.465
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.0562341	273.256	301.468
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.1	273.26	301.473
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.177828	273.269	301.482
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.316228	273.284	301.497
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	0.562341	273.311	301.525
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	1	273.358	301.573
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	1.77828	273.442	301.66
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	3.16228	273.591	301.814
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	5.62341	273.854	302.085
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	10	274.315	302.559
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	17.7828	275.114	303.382
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	31.6228	276.457	304.763
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	56.2341	278.627	306.991
2	1520.24	1	1570.43	1	10207.5	1	555.348	1	184.979	1	100	282.238	310.699
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0	273.249	301.462
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.001	273.25	301.462
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.00177828	273.25	301.462
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.00316228	273.25	301.462
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.00562341	273.25	301.463
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.01	273.251	301.463
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.0177828	273.252	301.465
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.0316228	273.255	301.467
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.0562341	273.259	301.471
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.1	273.266	301.478
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.177828	273.279	301.491
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.316228	273.301	301.514
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	0.562341	273.342	301.555
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	1	273.413	301.628
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	1.77828	273.54	301.756
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	3.16228	273.764	301.983
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	5.62341	274.159	302.384
3	1090.97	1	2100.25	1	17010.7	1	414.034	1	308.463	1	10	274.849	303.083
