RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0	273.248	301.461
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.001	273.253	301.462
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00177828	273.246	301.462
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00316228	273.25	301.463
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.00562341	273.252	301.466
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.01	273.251	301.469
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0177828	273.26	301.476
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0316228	273.276	301.49
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.0562341	273.292	301.512
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.1	273.335	301.553
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.177828	273.396	301.624
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.316228	273.502	301.751
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	0.562341	273.707	301.977
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	1	274.059	302.374
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	1.77828	274.679	303.072
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	3.16228	275.76	304.287
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	5.62341	277.616	306.363
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	10	280.694	309.82
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	17.7828	285.67	315.36
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	31.6228	293.368	323.789
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	56.2341	304.605	335.873
0	89.2	1	399.4	1	54	1	229.67	1	305.08	1	100	320.019	352.299
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0	273.249	301.462
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.001	273.25	301.462
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.00177828	273.25	301.462
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.00316228	273.25	301.463
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.00562341	273.251	301.464
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.01	273.252	301.465
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.0177828	273.254	301.468
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.0316228	273.258	301.474
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.0562341	273.265	301.483
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.1	273.277	301.499
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.177828	273.298	301.529
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.316228	273.335	301.581
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	0.562341	273.402	301.673
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	1	273.519	301.837
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	1.77828	273.728	302.124
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	3.16228	274.095	302.623
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	5.62341	274.737	303.48
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	10	275.858	304.941
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	17.7828	277.685	307.315
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	31.6228	280.208	310.71
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	56.2341	284.501	316.159
1	101.492	1	110.574	1	62.3834	1	249.877	1	294.821	1	100	291.195	324.052
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0	273.249	301.462
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.001	273.25	301.462
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.00177828	273.251	301.463
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.00316228	273.252	301.464
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.00562341	273.254	301.466
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.01	273.257	301.47
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.0177828	273.263	301.476
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.0316228	273.274	301.487
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.0562341	273.293	301.507
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.1	273.328	301.543
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.177828	273.388	301.606
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.316228	273.496	301.719
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	0.562341	273.687	301.918
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	1	274.025	302.27
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	1.77828	274.62	302.89
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	3.16228	275.658	303.971
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	5.62341	277.446	305.83
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	10	280.461	308.956
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	17.7828	285.464	314.153
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	31.6228	293.242	322.222
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	56.2341	305.398	334.924
2	66.2859	1	665.386	1	76.0966	1	229.47	1	325.126	1	100	321.616	352.434
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0	273.249	301.462
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.001	273.25	301.463
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.00177828	273.251	301.463
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.00316228	273.252	301.465
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.00562341	273.255	301.467
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.01	273.259	301.471
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.0177828	273.266	301.479
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.0316228	273.278	301.492
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.0562341	273.301	301.515
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.1	273.341	301.557
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.177828	273.411	301.632
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.316228	273.537	301.764
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	0.562341	273.76	301.998
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	1	274.154	302.411
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	1.77828	274.848	303.139
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	3.16228	276.059	304.408
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	5.62341	278.145	306.589
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	10	281.652	310.248
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	17.7828	287.43	316.277
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	31.6228	297.115	326.342
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	56.2341	311.789	341.588
3	68.9226	1	390.378	1	77.3951	1	137.893	1	375.74	1	100	331.824	362.84
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0	273.249	301.462
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.001	273.251	301.463
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.00177828	273.251	301.464
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.00316228	273.253	301.466
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.00562341	273.256	301.469
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.01	273.261	301.474
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.0177828	273.27	301.484
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.0316228	273.286	301.502
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.0562341	273.315	301.534
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.1	273.366	301.59
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.177828	273.456	301.69
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.316228	273.617	301.868
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	0.562341	273.901	302.181
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	1	274.401	302.733
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	1.77828	275.277	303.697
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	3.16228	276.793	305.361
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	5.62341	279.367	308.169
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	10	283.645	312.844
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	17.7828	290.446	320.189
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	31.6228	301.182	331.655
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	56.2341	316.593	347.981
4	64.5822	1	487.21	1	46.0024	1	154.476	1	281.576	1	100	337.114	370.124
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0	273.249	301.462
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.001	273.251	301.463
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.00177828	273.252	301.464
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.00316228	273.253	301.466
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.00562341	273.257	301.469
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.01	273.262	301.475
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.0177828	273.272	301.486
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.0316228	273.29	301.504
5	77.0711	1	1037.47	1	68.7669	1	98.5199	1	447.486	1	0.0562341	273.321	301.538
