RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0	273.247	301.461
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.001	273.251	301.461
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.00316228	273.248	301.461
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.01	273.247	301.46
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.0316228	273.246	301.46
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.1	273.258	301.463
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	0.316228	273.267	301.466
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	1	273.314	301.481
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	3.16228	273.464	301.526
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	10	273.916	301.663
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	31.6228	275.102	302.048
0	154.68	1	1e+06	1	1e+06	1	1e+06	1	1462.1	1	100	277.806	302.989
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0	273.249	301.462
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.001	273.249	301.462
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.00316228	273.25	301.462
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.01	273.25	301.462
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.0316228	273.251	301.462
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.1	273.256	301.463
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	0.316228	273.269	301.468
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	1	273.31	301.48
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	3.16228	273.439	301.52
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	10	273.828	301.641
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	31.6228	274.912	301.985
1	175.995	1	276851	1	1.15525e+06	1	1.08798e+06	1	1412.94	1	100	277.424	302.845
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0	273.249	301.462
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.001	273.25	301.462
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.00316228	273.25	301.462
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.01	273.25	301.462
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.0316228	273.252	301.462
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.1	273.259	301.464
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	0.316228	273.279	301.471
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	1	273.342	301.49
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	3.16228	273.536	301.549
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	10	274.108	301.725
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	31.6228	275.638	302.212
2	114.945	1	1.66596e+06	1	1.4092e+06	1	999128	1	1558.17	1	100	278.599	303.284
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0	273.249	301.462
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.001	273.25	301.462
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.00316228	273.25	301.462
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.01	273.25	301.462
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.0316228	273.252	301.462
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.1	273.258	301.464
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	0.316228	273.278	301.47
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	1	273.338	301.489
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	3.16228	273.525	301.546
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	10	274.077	301.715
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	31.6228	275.561	302.185
3	119.517	1	977411	1	1.43324e+06	1	600398	1	1800.74	1	100	278.484	303.232
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0	273.249	301.462
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.001	273.25	301.462
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.00316228	273.25	301.462
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.01	273.25	301.462
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.0316228	273.252	301.462
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.1	273.259	301.465
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	0.316228	273.28	301.471
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	1	273.344	301.491
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	3.16228	273.544	301.552
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	10	274.13	301.733
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	31.6228	275.694	302.234
4	111.991	1	1.21985e+06	1	851895	1	672599	1	1349.46	1	100	278.684	303.332
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0	273.249	301.462
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.001	273.25	301.462
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.00316228	273.25	301.462
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.01	273.25	301.462
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.0316228	273.252	301.462
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.1	273.257	301.464
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	0.316228	273.275	301.469
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	1	273.329	301.486
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	3.16228	273.497	301.537
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	10	273.996	301.69
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	31.6228	275.356	302.12
5	133.648	1	2.59757e+06	1	1.27346e+06	1	428963	1	2144.58	1	100	278.175	303.111
6	180.845	1	940733	1	659902	1	1.02994e+06	1	1865.23	1	0	273.249	301.462
