RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0	273.248	301.461
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.001	273.25	301.462
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.00177828	273.246	301.462
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.00316228	273.251	301.463
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.00562341	273.253	301.465
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.01	273.254	301.468
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.0177828	273.259	301.473
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.0316228	273.272	301.484
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.0562341	273.291	301.503
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.1	273.322	301.536
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.177828	273.382	301.596
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.316228	273.482	301.7
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	0.562341	273.661	301.886
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	1	273.987	302.216
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	1.77828	274.554	302.799
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	3.16228	275.56	303.826
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	5.62341	277.31	305.619
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	10	280.332	308.706
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	17.7828	285.433	313.908
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	31.6228	293.745	322.361
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	56.2341	306.592	335.382
0	590.67	1	1e+06	1	15037.5	1	96.63	1	10640.3	1	100	325.096	354.024
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0	273.249	301.462
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.001	273.251	301.463
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.00177828	273.251	301.464
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.00316228	273.253	301.465
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.00562341	273.256	301.468
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.01	273.26	301.473
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.0177828	273.269	301.481
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.0316228	273.284	301.497
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.0562341	273.31	301.524
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.1	273.357	301.573
1	562.424	1	971444	1	25162.1	1	70.4036	1	8375.52	1	0.177828	273.441	301.659
