RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0	273.248	301.461
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.001	273.252	301.462
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.00177828	273.248	301.461
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.00316228	273.249	301.462
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.00562341	273.248	301.463
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.01	273.257	301.466
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.0177828	273.26	301.47
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.0316228	273.267	301.476
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.0562341	273.285	301.489
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.1	273.311	301.51
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.177828	273.358	301.548
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.316228	273.444	301.617
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	0.562341	273.597	301.738
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	1	273.865	301.953
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	1.77828	274.344	302.335
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	3.16228	275.18	303.005
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	5.62341	276.586	304.172
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	10	279.001	306.188
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	17.7828	283.003	309.598
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	31.6228	289.326	315.179
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	56.2341	298.615	323.882
0	44	1	384.36	1	411.213	1	146.25	1	1e+06	1	100	310.587	336.571
1	40.998	1	126.859	1	992.915	1	201.035	1	1.27963e+06	1	0	273.249	301.462
1	40.998	1	126.859	1	992.915	1	201.035	1	1.27963e+06	1	0.001	273.25	301.462
1	40.998	1	126.859	1	992.915	1	201.035	1	1.27963e+06	1	0.00177828	273.25	301.462
