RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0	273.248	301.461
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.001	273.262	301.473
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00177828	273.267	301.481
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00316228	273.284	301.497
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.00562341	273.312	301.526
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.01	273.362	301.576
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0177828	273.448	301.667
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0316228	273.603	301.826
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.0562341	273.88	302.111
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.1	274.371	302.614
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.177828	275.237	303.503
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.316228	276.757	305.062
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	0.562341	279.372	307.767
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	1	283.839	312.391
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	1.77828	291.323	320.105
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	3.16228	303.318	332.5
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	5.62341	321.443	351.476
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	10	346.147	378.851
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	17.7828	380.529	416.784
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	31.6228	426.843	467.334
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	56.2341	488.634	534.138
0	5.65	1	1e+06	1	6.62	1	14.2	1	52.65	1	100	581.441	633.347
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0	273.249	301.462
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.001	273.263	301.476
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.00177828	273.274	301.488
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.00316228	273.293	301.508
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.00562341	273.327	301.544
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.01	273.388	301.609
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.0177828	273.495	301.723
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.0316228	273.686	301.925
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.0562341	274.024	302.284
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.1	274.621	302.917
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.177828	275.67	304.028
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.316228	277.495	305.957
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	0.562341	280.619	309.252
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	1	285.864	314.78
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	1.77828	294.45	323.781
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	3.16228	308.418	338.387
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	5.62341	329.348	360.344
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	10	357.251	391.074
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	17.7828	395.714	433.287
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	31.6228	447.329	489.337
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	56.2341	520.541	567.999
1	5.98406	1	3.92548e+06	1	5.44091	1	11.4128	1	101.107	1	100	733.08	766.831
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0	273.249	301.462
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.001	273.261	301.474
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.00177828	273.271	301.484
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.00316228	273.287	301.501
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.00562341	273.317	301.531
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.01	273.369	301.585
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.0177828	273.462	301.681
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.0316228	273.627	301.852
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.0562341	273.919	302.154
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.1	274.435	302.688
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.177828	275.344	303.628
2	6.31777	1	722167	1	7.44871	1	12.0234	1	58.1018	1	0.316228	276.933	305.27
