RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0	273.248	301.461
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.001	273.25	301.462
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.00177828	273.25	301.463
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.00316228	273.251	301.464
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.00562341	273.255	301.466
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.01	273.26	301.471
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.0177828	273.263	301.477
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.0316228	273.282	301.492
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.0562341	273.304	301.516
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.1	273.35	301.559
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.177828	273.432	301.637
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.316228	273.579	301.774
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	0.562341	273.832	302.016
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	1	274.286	302.447
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	1.77828	275.083	303.206
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	3.16228	276.482	304.539
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	5.62341	278.927	306.857
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	10	283.056	310.81
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	17.7828	289.947	317.384
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	31.6228	300.928	327.849
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	56.2341	317.297	343.495
0	84.65	1	1e+06	1	31276.6	1	76.029	1	4476.76	1	100	339.299	364.99
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0	273.249	301.462
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.001	273.252	301.464
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.00177828	273.254	301.466
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.00316228	273.258	301.47
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.00562341	273.264	301.476
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.01	273.276	301.488
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.0177828	273.296	301.509
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.0316228	273.332	301.545
1	98.1467	1	634046	1	28776	1	29.7643	1	3419.97	1	0.0562341	273.397	301.61
