RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0	273.248	301.461
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.001	273.478	301.762
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00177828	273.655	301.995
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00316228	273.965	302.402
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.00562341	274.506	303.109
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.01	275.417	304.313
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0177828	276.916	306.303
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0316228	279.263	309.438
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.0562341	282.639	314.012
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.1	287.008	320.016
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.177828	291.936	326.908
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.316228	296.831	333.758
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	0.562341	301.231	339.746
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	1	305.201	344.619
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	1.77828	309.217	348.71
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	3.16228	313.831	352.691
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	5.62341	319.12	357.357
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	10	325.097	363.694
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	17.7828	334.044	373.383
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	31.6228	348.051	388.541
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	56.2341	369.79	411.937
0	5.68	1	1e+06	1	0.13	1	80	1	11.7	1	100	401.978	446.417
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0	273.249	301.462
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.001	273.493	301.783
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.00177828	273.679	302.03
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.00316228	274.006	302.461
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.00562341	274.569	303.205
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.01	275.521	304.461
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.0177828	277.071	306.505
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.0316228	279.501	309.768
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.0562341	282.963	314.462
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.1	287.385	320.551
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.177828	292.318	327.443
1	4.86175	1	761633	1	0.124077	1	139.971	1	10.406	1	0.316228	297.14	334.186
