RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0	273.25	301.461
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.001	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00177828	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00316228	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.00562341	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.01	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0177828	273.25	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0316228	273.251	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.0562341	273.252	301.462
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.1	273.253	301.463
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.177828	273.254	301.463
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.316228	273.26	301.464
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	0.562341	273.268	301.467
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1	273.284	301.471
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	1.77828	273.31	301.479
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	3.16228	273.357	301.493
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	5.62341	273.44	301.517
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	10	273.585	301.558
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	17.7828	273.841	301.633
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	31.6228	274.245	301.755
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	56.2341	274.904	301.958
0	306.753	1	1e+06	1	1e+06	1	1e+06	1	1e+06	1	100	275.955	302.285
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.001	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00177828	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00316228	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.00562341	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.01	273.25	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0177828	273.251	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0316228	273.252	301.462
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.0562341	273.253	301.463
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.1	273.256	301.464
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.177828	273.262	301.465
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.316228	273.271	301.468
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	0.562341	273.287	301.473
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1	273.317	301.482
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	1.77828	273.368	301.497
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	3.16228	273.458	301.524
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	5.62341	273.615	301.571
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	10	273.883	301.65
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	17.7828	274.325	301.782
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	31.6228	275.056	302.006
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	56.2341	276.157	302.351
1	157.768	1	774287	1	1.52444e+06	1	491382	1	774816	1	100	277.658	302.851
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.001	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00177828	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00316228	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.00562341	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.01	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0177828	273.25	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0316228	273.251	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.0562341	273.252	301.462
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.1	273.254	301.463
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.177828	273.258	301.464
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.316228	273.264	301.466
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	0.562341	273.274	301.469
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1	273.294	301.475
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	1.77828	273.328	301.485
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	3.16228	273.387	301.503
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	5.62341	273.492	301.534
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	10	273.674	301.588
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	17.7828	273.981	301.68
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	31.6228	274.484	301.831
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	56.2341	275.313	302.088
2	240.774	1	675062	1	2.59842e+06	1	390710	1	800730	1	100	276.531	302.478
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.001	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00177828	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00316228	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.00562341	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.01	273.25	301.462
3	150.156	1	849140	1	526653	1	960090	1	1.03311e+06	1	0.0177828	273.251	301.462
