RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.001	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00177828	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00316228	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.00562341	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.01	273.25	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0177828	273.251	301.462
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0316228	273.251	301.463
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.0562341	273.253	301.464
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.1	273.255	301.465
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.177828	273.259	301.468
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.316228	273.267	301.473
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	0.562341	273.28	301.482
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	1	273.304	301.498
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	1.77828	273.346	301.526
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	3.16228	273.42	301.576
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	5.62341	273.553	301.665
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	10	273.786	301.821
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	17.7828	274.198	302.098
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	31.6228	274.876	302.576
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	56.2341	276.016	303.399
0	304.476	1	1e+06	1	1488.64	1	1e+06	1	1e+06	1	100	277.897	304.789
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.001	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00177828	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00316228	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.00562341	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.01	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0177828	273.25	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0316228	273.251	301.462
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.0562341	273.252	301.463
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.1	273.254	301.464
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.177828	273.257	301.465
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.316228	273.262	301.468
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	0.562341	273.271	301.473
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	1	273.288	301.481
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	1.77828	273.318	301.497
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	3.16228	273.371	301.524
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	5.62341	273.464	301.573
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	10	273.627	301.658
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	17.7828	273.909	301.807
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	31.6228	274.389	302.064
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	56.2341	275.191	302.507
1	348.939	1	857436	1	3695.94	1	693009	1	1.23563e+06	1	100	276.501	303.26
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.001	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00177828	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00316228	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.00562341	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.01	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0177828	273.25	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0316228	273.251	301.462
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.0562341	273.252	301.463
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.1	273.254	301.464
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.177828	273.257	301.466
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.316228	273.264	301.47
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	0.562341	273.274	301.477
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	1	273.293	301.488
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	1.77828	273.327	301.509
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	3.16228	273.387	301.545
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	5.62341	273.493	301.61
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	10	273.678	301.725
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	17.7828	274	301.925
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	31.6228	274.55	302.273
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	56.2341	275.473	302.871
2	347.44	1	1.7141e+06	1	2289.04	1	693956	1	982462	1	100	276.991	303.89
