RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0	273.25	301.462
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.001	273.25	301.462
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.00177828	273.25	301.462
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.00316228	273.251	301.462
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.00562341	273.251	301.462
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.01	273.258	301.468
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.0177828	273.256	301.465
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.0316228	273.261	301.468
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.0562341	273.269	301.472
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.1	273.285	301.481
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.177828	273.312	301.496
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.316228	273.36	301.523
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	0.562341	273.445	301.57
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	1	273.602	301.659
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	1.77828	273.864	301.803
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	3.16228	274.315	302.061
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	5.62341	275.044	302.501
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	10	276.27	303.25
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	17.7828	278.143	304.468
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	31.6228	280.711	306.338
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	56.2341	283.318	308.906
0	37.946	1	1349.63	1	242.27	1	1e+06	1	1e+06	1	100	285.602	312.113
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0	273.25	301.462
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.001	273.25	301.462
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.00177828	273.25	301.462
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.00316228	273.251	301.462
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.00562341	273.251	301.463
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.01	273.253	301.464
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.0177828	273.255	301.466
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.0316228	273.259	301.469
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.0562341	273.265	301.474
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.1	273.278	301.484
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.177828	273.3	301.502
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.316228	273.338	301.533
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	0.562341	273.407	301.587
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	1	273.528	301.685
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	1.77828	273.74	301.856
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	3.16228	274.11	302.155
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	5.62341	274.744	302.672
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	10	275.804	303.548
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	17.7828	277.555	305.004
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	31.6228	280.232	307.311
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	56.2341	283.907	310.7
1	67.2857	1	1711.2	1	184.201	1	1.01759e+06	1	993724	1	100	287.724	315.04
2	77.2266	1	1745.68	1	246.383	1	2.70798e+06	1	481535	1	0	273.25	301.462
2	77.2266	1	1745.68	1	246.383	1	2.70798e+06	1	481535	1	0.001	273.25	301.462
2	77.2266	1	1745.68	1	246.383	1	2.70798e+06	1	481535	1	0.00177828	273.25	301.462
