RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0	273.25	301.462
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.001	273.25	301.462
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00177828	273.25	301.462
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00316228	273.249	301.461
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.00562341	273.25	301.461
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.01	273.249	301.461
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0177828	273.249	301.461
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0316228	273.254	301.466
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.0562341	273.249	301.46
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.1	273.248	301.46
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.177828	273.247	301.458
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.316228	273.245	301.456
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	0.562341	273.24	301.452
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	1	273.234	301.444
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	1.77828	273.221	301.431
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	3.16228	273.199	301.406
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	5.62341	273.16	301.363
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	10	273.091	301.287
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	17.7828	272.967	301.152
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	31.6228	272.749	300.913
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	56.2341	272.361	300.489
0	4808.98	1	3494.97	1	1e+06	1	1e+06	1	1e+06	1	100	271.682	299.745
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0	273.25	301.462
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.001	273.25	301.462
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00177828	273.25	301.462
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00316228	273.25	301.462
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.00562341	273.25	301.461
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.01	273.249	301.461
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0177828	273.249	301.461
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0316228	273.249	301.461
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.0562341	273.248	301.46
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.1	273.247	301.459
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.177828	273.245	301.456
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.316228	273.241	301.452
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	0.562341	273.234	301.445
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	1	273.221	301.432
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	1.77828	273.199	301.409
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	3.16228	273.16	301.368
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	5.62341	273.09	301.296
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	10	272.966	301.167
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	17.7828	272.746	300.94
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	31.6228	272.361	300.54
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	56.2341	271.687	299.84
1	5076.6	1	2225.86	1	993304	1	834859	1	1.99105e+06	1	100	270.528	298.634
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0	273.25	301.462
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.001	273.25	301.462
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.00177828	273.25	301.462
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.00316228	273.25	301.462
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.00562341	273.25	301.462
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.01	273.25	301.461
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.0177828	273.249	301.461
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.0316228	273.249	301.461
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.0562341	273.249	301.461
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.1	273.248	301.46
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.177828	273.247	301.459
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.316228	273.245	301.457
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	0.562341	273.242	301.453
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	1	273.236	301.446
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	1.77828	273.226	301.433
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	3.16228	273.208	301.411
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	5.62341	273.175	301.372
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	10	273.117	301.302
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	17.7828	273.014	301.178
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	31.6228	272.832	300.958
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	56.2341	272.512	300.572
2	2500.15	1	3859.61	1	2.46356e+06	1	448727	1	1.12863e+06	1	100	271.952	299.898
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0	273.25	301.462
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.001	273.25	301.462
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.00177828	273.25	301.462
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.00316228	273.25	301.462
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.00562341	273.25	301.461
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.01	273.249	301.461
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.0177828	273.249	301.461
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.0316228	273.249	301.461
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.0562341	273.248	301.46
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.1	273.247	301.459
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.177828	273.246	301.458
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.316228	273.243	301.454
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	0.562341	273.237	301.449
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	1	273.228	301.439
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	1.77828	273.211	301.421
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	3.16228	273.18	301.389
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	5.62341	273.126	301.332
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	10	273.03	301.232
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	17.7828	272.861	301.055
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	31.6228	272.561	300.742
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	56.2341	272.037	300.193
3	5647.2	1	2843.63	1	2.69281e+06	1	493071	1	436002	1	100	271.128	299.241
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0	273.25	301.462
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.001	273.25	301.462
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.00177828	273.25	301.462
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.00316228	273.25	301.462
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.00562341	273.25	301.462
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.01	273.25	301.461
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.0177828	273.249	301.461
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.0316228	273.249	301.461
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.0562341	273.249	301.461
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.1	273.248	301.46
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.177828	273.247	301.459
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.316228	273.245	301.457
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	0.562341	273.242	301.453
4	4397.65	1	4145.57	1	793752	1	978199	1	1.90199e+06	1	1	273.236	301.446
