RandomRun	NaV1.5_IC50(uM)	NaV1.5_Hill	CaV1.2_IC50(uM)	CaV1.2_Hill	hERG_IC50(uM)	hERG_Hill	IKs_IC50(uM)	IKs_Hill	Itof_IC50(uM)	Itof_Hill	Concentration(uM)	APD50(ms)	APD90(ms)
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0	273.25	301.462
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.001	273.25	301.462
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.00177828	273.25	301.462
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.00316228	273.25	301.462
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.00562341	273.25	301.462
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.01	273.251	301.463
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.0177828	273.251	301.464
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.0316228	273.253	301.465
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.0562341	273.255	301.468
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.1	273.26	301.474
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.177828	273.267	301.483
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.316228	273.28	301.5
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	0.562341	273.305	301.53
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	1	273.347	301.583
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	1.77828	273.423	301.678
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	3.16228	273.557	301.845
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	5.62341	273.791	302.138
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	10	274.202	302.652
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	17.7828	274.911	303.539
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	31.6228	276.109	305.036
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	56.2341	278.058	307.472
0	1572.6	1	1e+06	1	326.594	1	1e+06	1	1e+06	1	100	281.056	311.214
1	433.797	1	663660	1	306.263	1	48197.2	1	717717	1	0	273.25	301.462
1	433.797	1	663660	1	306.263	1	48197.2	1	717717	1	0.001	273.25	301.462
1	433.797	1	663660	1	306.263	1	48197.2	1	717717	1	0.00177828	273.25	301.462
1	433.797	1	663660	1	306.263	1	48197.2	1	717717	1	0.00316228	273.25	301.462
